timestamp,a_left_wristPose,b_left_wristPose,c_left_wristPose, DELIVERY_RIGHT
1.6461450322795858e+18,4428.0,-4930.0,-4247.0,1
1.646145032329815e+18,4424.0,-5035.0,-4403.0,1
1.646145032384207e+18,4759.0,-5488.0,-4950.0,1
1.6461450324321398e+18,4734.0,-5450.0,-4692.0,1
1.6461450324794573e+18,4106.0,-5317.0,-4753.0,1
1.6461450325257226e+18,3739.0,-5037.0,-4344.0,1
1.6461450325823724e+18,3294.0,-4851.0,-3727.0,1
1.6461450326298332e+18,3310.0,-5229.0,-3505.0,1
1.6461450326830656e+18,3691.0,-6296.0,-3620.0,1
1.6461450327279708e+18,3771.0,-6493.0,-2997.0,1
1.646145032781131e+18,3595.0,-5483.0,165.0,1
1.6461450328241592e+18,3493.0,-6258.0,872.0,1
1.6461450328807299e+18,3939.0,-7047.0,1617.0,1
1.64614503292693e+18,4009.0,-5370.0,906.0,1
1.64614503298387e+18,3104.0,-6248.0,68.0,1
