timestamp,a_right_backPose,b_right_backPose,c_right_backPose, ASSEMBLY2_BIMANUAL
1.6450230590360428e+18,-5567.0,1416.0,-5975.0,1
1.6450230590825231e+18,-5801.0,1864.0,-5357.0,1
1.6450230591391951e+18,-6438.0,1929.0,-5307.0,1
1.6450230591839383e+18,-6347.0,1552.0,-5606.0,1
1.6450230592362542e+18,-5879.0,1459.0,-5426.0,1
1.64502305928304e+18,-5586.0,1823.0,-5416.0,1
1.6450230593397417e+18,-5787.0,1960.0,-5339.0,1
1.6450230593844106e+18,-5676.0,1793.0,-5056.0,1
1.6450230594390264e+18,-5916.0,2116.0,-6103.0,1
1.6450230594891016e+18,-5798.0,1641.0,-6029.0,1
1.6450230595385605e+18,-5687.0,1642.0,-5849.0,1
1.6450230595891602e+18,-5594.0,1748.0,-5280.0,1
1.64502305963618e+18,-5298.0,2069.0,-5446.0,1
1.6450230596879747e+18,-6406.0,1886.0,-6255.0,1
1.645023059736365e+18,-5961.0,1512.0,-6189.0,1
1.6450230597880497e+18,-5220.0,1684.0,-6034.0,1
1.6450230598344686e+18,-5216.0,1678.0,-6127.0,1
1.6450230598890424e+18,-5044.0,1619.0,-6504.0,1
1.6450230599362488e+18,-4876.0,1822.0,-6106.0,1
1.6450230599876357e+18,-5310.0,2065.0,-5819.0,1
1.645023060033585e+18,-5197.0,2088.0,-6056.0,1
1.6450230600899525e+18,-5227.0,2332.0,-5766.0,1
1.6450230601358991e+18,-5640.0,2056.0,-5329.0,1
1.645023060192381e+18,-4773.0,2269.0,-5239.0,1
1.6450230602392236e+18,-6150.0,2359.0,-5135.0,1
1.6450230602886723e+18,-5926.0,2251.0,-6744.0,1
1.6450230603347668e+18,-5696.0,2169.0,-6062.0,1
1.645023060389038e+18,-5190.0,2283.0,-5699.0,1
1.645023060438782e+18,-5419.0,2092.0,-5958.0,1
1.6450230604892104e+18,-5532.0,2106.0,-5856.0,1
1.6450230605341192e+18,-5874.0,2229.0,-5509.0,1
1.6450230605900055e+18,-6038.0,2378.0,-5302.0,1
1.6450230606345646e+18,-5888.0,2370.0,-5265.0,1
1.6450230606898944e+18,-6191.0,2356.0,-5172.0,1
1.6450230607364946e+18,-6154.0,2428.0,-5109.0,1
1.645023060788635e+18,-6200.0,2556.0,-5036.0,1
1.6450230608322358e+18,-6195.0,2741.0,-4999.0,1
1.6450230608891817e+18,-6057.0,2884.0,-4912.0,1
1.6450230609384973e+18,-5818.0,3187.0,-5163.0,1
1.645023060989795e+18,-5758.0,3202.0,-5066.0,1
1.645023061039542e+18,-5729.0,3313.0,-4766.0,1
1.6450230610891702e+18,-5774.0,3296.0,-4798.0,1
1.6450230611390323e+18,-6291.0,3350.0,-4584.0,1
1.6450230612877379e+18,-6673.0,2958.0,-4221.0,1
1.6450230613385277e+18,-6608.0,2881.0,-4118.0,1
1.6450230613901033e+18,-6583.0,2782.0,-4037.0,1
1.6450230614396564e+18,-6660.0,2719.0,-3975.0,1
1.6450230614854723e+18,-6605.0,2684.0,-4145.0,1
1.6450230615413594e+18,-6505.0,2788.0,-4346.0,1
1.6450230615872988e+18,-6385.0,2721.0,-4367.0,1
1.645023061641985e+18,-6384.0,2643.0,-4327.0,1
1.645023061688328e+18,-6374.0,2513.0,-4391.0,1
1.645023061738907e+18,-6597.0,2429.0,-4431.0,1
1.6450230617877583e+18,-6727.0,2368.0,-4680.0,1
1.645023061841563e+18,-6887.0,2264.0,-4658.0,1
1.645023061888202e+18,-6945.0,2226.0,-4591.0,1
