timestamp,a_right_wristPose,b_right_wristPose,c_right_wristPose, PICKUP_LEFT
1.6461471460805235e+18,-2917.0,7740.0,-4485.0,1
1.6461471461246144e+18,-2729.0,7634.0,-4250.0,1
1.6461471461834596e+18,-2553.0,7675.0,-3633.0,1
1.6461471462286845e+18,-2161.0,7168.0,-2935.0,1
1.6461471462793935e+18,-1585.0,7161.0,-2583.0,1
1.6461471463284014e+18,-1282.0,7944.0,-3036.0,1
1.6461471467332137e+18,-200.0,8075.0,-2455.0,1
1.6461471467805517e+18,-287.0,8347.0,-2457.0,1
1.646147146828927e+18,-543.0,8737.0,-2013.0,1
1.6461471468800786e+18,-155.0,8574.0,-2322.0,1
1.6461471469349732e+18,-210.0,8150.0,-1476.0,1
1.6461471469829716e+18,254.0,8788.0,-1171.0,1
1.646147147033714e+18,668.0,6504.0,129.0,1
1.6461471470808768e+18,254.0,8319.0,33.0,1
1.64614714713364e+18,-47.0,8316.0,-75.0,1
1.6461471471792184e+18,-111.0,8969.0,-1043.0,1
1.6461471472299187e+18,-491.0,8113.0,722.0,1
1.6461471472782874e+18,-447.0,8207.0,126.0,1
1.6461471473334738e+18,-438.0,7482.0,999.0,1
1.6461471473798935e+18,-118.0,7799.0,-370.0,1
1.646147147434045e+18,-522.0,7815.0,-598.0,1
1.6461471474804585e+18,-367.0,7631.0,-1591.0,1
1.6461471475307116e+18,74.0,9367.0,-3364.0,1
1.6461471475802033e+18,65.0,9251.0,-4333.0,1
1.6461471476302456e+18,166.0,8511.0,-5312.0,1
1.646147147679022e+18,-478.0,8335.0,-4093.0,1
1.6461471477346877e+18,-955.0,6904.0,-1859.0,1
1.6461471477794916e+18,-820.0,7875.0,-1882.0,1
1.646147147830689e+18,-1151.0,7800.0,-685.0,1
1.6461471478818644e+18,-734.0,7971.0,-934.0,1
1.646147147931636e+18,-1109.0,7610.0,-563.0,1
1.6461471479801987e+18,-1472.0,8023.0,-1100.0,1
1.6461471480371523e+18,-1042.0,7536.0,-873.0,1
1.646147148078948e+18,-584.0,7230.0,-2780.0,1
1.646147148131629e+18,-683.0,8302.0,-3974.0,1
1.6461471481798195e+18,-906.0,7952.0,-4495.0,1
1.6461471482305564e+18,-1206.0,8009.0,-4752.0,1
1.6461471482851113e+18,-1365.0,7772.0,-4615.0,1
1.6461471483309583e+18,-1357.0,7680.0,-4322.0,1
1.6461471483858186e+18,-1370.0,7507.0,-4146.0,1
1.6461471484308114e+18,-1379.0,7200.0,-4213.0,1
1.6461471484866621e+18,-1455.0,7332.0,-3828.0,1
1.6461471485294523e+18,-1389.0,7936.0,-4668.0,1
1.6461471485826214e+18,-1223.0,7327.0,-4247.0,1
1.6461471486325804e+18,-1114.0,7296.0,-3011.0,1
1.6461471486856673e+18,-673.0,7427.0,-3263.0,1
1.6461471487339569e+18,-674.0,7394.0,-3011.0,1
1.646147148786036e+18,-1189.0,7943.0,-2876.0,1
1.646147148830352e+18,-1510.0,8556.0,-3122.0,1
1.646147148885038e+18,-1258.0,8137.0,-3029.0,1
1.6461471489331584e+18,-882.0,7500.0,-2466.0,1
1.6461471489879406e+18,-707.0,7590.0,-2320.0,1
1.6461471490355676e+18,-788.0,8128.0,-2952.0,1
1.6461471490874757e+18,-1081.0,8697.0,-3095.0,1
1.646147149130342e+18,-1061.0,8228.0,-2281.0,1
1.646147149184765e+18,-902.0,7680.0,-1962.0,1
1.6461471492306944e+18,-1063.0,7537.0,-1780.0,1
1.6461471492853276e+18,-1077.0,7471.0,-1980.0,1
1.6461471493327839e+18,-1085.0,7536.0,-2115.0,1
1.6461471493849795e+18,-845.0,7271.0,-2849.0,1
1.6461471494315773e+18,-1186.0,8683.0,-3219.0,1
1.6461471494862262e+18,-1193.0,8310.0,-4061.0,1
1.6461471495309245e+18,-1301.0,8617.0,-3361.0,1
1.6461471495867515e+18,-1179.0,7925.0,-2893.0,1
1.6461471496244416e+18,-1475.0,8356.0,-2257.0,1
1.6461471496851057e+18,-1910.0,8425.0,-2175.0,1
1.646147149736058e+18,-2009.0,7282.0,-1362.0,1
1.646147149783935e+18,-2017.0,9113.0,-1152.0,1
1.6461471498309276e+18,-1257.0,8457.0,-2223.0,1
1.6461471498825085e+18,-1403.0,7291.0,-550.0,1
1.6461471499354204e+18,-1337.0,8364.0,-1454.0,1
1.6461471499827136e+18,-1540.0,8434.0,-1124.0,1
1.6461471500355592e+18,-1915.0,7558.0,46.0,1
1.646147150082573e+18,-2309.0,7615.0,361.0,1
1.6461471501383772e+18,-2167.0,9366.0,-560.0,1
1.646147150192024e+18,-1513.0,8539.0,-1189.0,1
1.646147150207643e+18,-1425.0,8364.0,-1251.0,1
1.6461471503122862e+18,-1317.0,8180.0,-1328.0,1
1.6461471503122862e+18,-1317.0,8180.0,-1328.0,1
1.6461471503770552e+18,-1218.0,8010.0,-1405.0,1
1.6461471504364352e+18,-1142.0,7900.0,-1478.0,1
1.6461471504930883e+18,-1093.0,7875.0,-1544.0,1
1.6461471505341699e+18,-580.0,8547.0,1949.0,1
1.646147150585917e+18,488.0,7978.0,1772.0,1
1.6461471506328799e+18,1499.0,6661.0,1325.0,1
1.6461471506859238e+18,1088.0,6908.0,1638.0,1
1.6461471507326195e+18,1027.0,7445.0,2046.0,1
1.6461471507824873e+18,746.0,7263.0,3738.0,1
1.6461471508329764e+18,1059.0,7932.0,3608.0,1
1.6461471508826017e+18,1564.0,7588.0,3462.0,1
1.64614715093584e+18,1730.0,7057.0,4153.0,1
1.6461471509826972e+18,1905.0,6414.0,4340.0,1
1.6461471510377682e+18,1185.0,5480.0,4651.0,1
