timestamp,a_right_wristPose,b_right_wristPose,c_right_wristPose,File Name
1.6466620336548324e+18,1596.0,8507.0,2661.0,frame_830.jpeg
1.6466620337035366e+18,2471.0,10200.0,2256.0,frame_831.jpeg
1.6466620337519465e+18,1924.0,7034.0,3877.0,frame_832.jpeg
1.6466620338084426e+18,1488.0,7316.0,3590.0,frame_833.jpeg
1.6466620338529536e+18,1700.0,6602.0,3371.0,frame_834.jpeg
1.6466620339082435e+18,1684.0,6924.0,3803.0,frame_835.jpeg
1.6466620339548234e+18,1917.0,7370.0,4056.0,frame_836.jpeg
1.646662034003605e+18,2082.0,6962.0,4252.0,frame_837.jpeg
1.6466620340534797e+18,1864.0,6668.0,4612.0,frame_838.jpeg
1.6466620341072714e+18,1930.0,6334.0,4570.0,frame_839.jpeg
1.6466619963081393e+18,-5341.0,5494.0,2347.0,frame_84.jpeg
1.6466620341540675e+18,2090.0,7202.0,4678.0,frame_840.jpeg
1.6466620342081475e+18,2011.0,6486.0,4606.0,frame_841.jpeg
1.64666203425419e+18,2008.0,7259.0,4467.0,frame_842.jpeg
1.6466620343079713e+18,2120.0,6851.0,4529.0,frame_843.jpeg
1.6466620343544207e+18,2126.0,7128.0,4515.0,frame_844.jpeg
1.6466620344080348e+18,1999.0,6662.0,4564.0,frame_845.jpeg
1.6466620344592192e+18,1874.0,6945.0,4587.0,frame_846.jpeg
1.6466620345081677e+18,1965.0,5919.0,4521.0,frame_847.jpeg
1.6466620345583117e+18,1790.0,6013.0,4942.0,frame_848.jpeg
1.646662034603665e+18,1769.0,6315.0,5120.0,frame_849.jpeg
1.6466619963581284e+18,-5392.0,5478.0,2381.0,frame_85.jpeg
1.6466620346599327e+18,1716.0,6130.0,5045.0,frame_850.jpeg
1.646662034706406e+18,1879.0,6207.0,4745.0,frame_851.jpeg
1.6466620347594079e+18,1835.0,6971.0,4438.0,frame_852.jpeg
1.6466620348079007e+18,1672.0,7281.0,4496.0,frame_853.jpeg
1.646662034859608e+18,1655.0,7187.0,4880.0,frame_854.jpeg
1.6466620349039293e+18,1863.0,7234.0,4729.0,frame_855.jpeg
1.6466620349600655e+18,2019.0,6915.0,4750.0,frame_856.jpeg
1.6466620350090862e+18,1562.0,5413.0,4874.0,frame_857.jpeg
1.6466620350552602e+18,1869.0,6795.0,4176.0,frame_858.jpeg
1.646662035109115e+18,1518.0,7589.0,5094.0,frame_859.jpeg
1.6466619964128284e+18,-5417.0,5441.0,2382.0,frame_86.jpeg
1.64666203515936e+18,1465.0,6799.0,4711.0,frame_860.jpeg
1.646662035204297e+18,1470.0,6526.0,4640.0,frame_861.jpeg
1.6466620352589466e+18,1170.0,8545.0,4967.0,frame_862.jpeg
1.6466620353060342e+18,1273.0,6746.0,4540.0,frame_863.jpeg
1.6466620353607762e+18,957.0,5962.0,4263.0,frame_864.jpeg
1.6466620354062838e+18,1075.0,6338.0,3859.0,frame_865.jpeg
1.6466620354582497e+18,1327.0,7710.0,2813.0,frame_866.jpeg
1.6466620355044086e+18,1067.0,6877.0,2175.0,frame_867.jpeg
1.6466620355613094e+18,369.0,8470.0,1388.0,frame_868.jpeg
1.6466620356035868e+18,508.0,9154.0,-145.0,frame_869.jpeg
1.6466619964566257e+18,-5407.0,5440.0,2385.0,frame_87.jpeg
1.6466624295566154e+18,-5153.0,4186.0,3249.0,frame_8738.jpeg
1.6466624296008481e+18,-5320.0,4766.0,3032.0,frame_8739.jpeg
1.646662429649683e+18,-5420.0,4938.0,2930.0,frame_8740.jpeg
1.6466624297012408e+18,-5444.0,5090.0,2856.0,frame_8741.jpeg
1.6466624297515116e+18,-5423.0,4821.0,2911.0,frame_8742.jpeg
1.646662429803276e+18,-5316.0,5302.0,2399.0,frame_8743.jpeg
1.646662429854285e+18,-5414.0,5137.0,2954.0,frame_8744.jpeg
1.6466624298975204e+18,-5572.0,5177.0,3179.0,frame_8745.jpeg
1.6466624299526738e+18,-5642.0,5423.0,2666.0,frame_8746.jpeg
1.646662430002116e+18,-5448.0,5269.0,2693.0,frame_8747.jpeg
1.6466624300526922e+18,-5220.0,5507.0,2722.0,frame_8748.jpeg
1.6466624301018985e+18,-5335.0,5565.0,3345.0,frame_8749.jpeg
1.6466624301523732e+18,-5224.0,5140.0,3296.0,frame_8750.jpeg
1.6466624301985078e+18,-5019.0,6359.0,2992.0,frame_8751.jpeg
1.6466624302511526e+18,-4511.0,6511.0,3007.0,frame_8752.jpeg
1.646662430302192e+18,-4233.0,5484.0,3259.0,frame_8753.jpeg
1.6466624303589965e+18,-4193.0,5812.0,3361.0,frame_8754.jpeg
1.6466624304033172e+18,-4208.0,6339.0,3444.0,frame_8755.jpeg
1.646662430452628e+18,-4191.0,5548.0,3820.0,frame_8756.jpeg
1.6466624305031634e+18,-4247.0,5374.0,3706.0,frame_8757.jpeg
1.646662430553225e+18,-4364.0,5688.0,3507.0,frame_8758.jpeg
1.646662430601081e+18,-4412.0,5421.0,3398.0,frame_8759.jpeg
1.6466624306536527e+18,-4557.0,5643.0,3386.0,frame_8760.jpeg
1.6466624307083425e+18,-4830.0,5718.0,3847.0,frame_8761.jpeg
1.6466624307523075e+18,-5930.0,5077.0,4860.0,frame_8762.jpeg
1.6466624308037253e+18,-7061.0,4401.0,5040.0,frame_8763.jpeg
1.6466624308522644e+18,-6981.0,4279.0,3733.0,frame_8764.jpeg
1.646662430903649e+18,-5882.0,5105.0,2772.0,frame_8765.jpeg
1.6466624309526915e+18,-4368.0,6261.0,2294.0,frame_8766.jpeg
1.6466624310024796e+18,-3724.0,7416.0,1815.0,frame_8767.jpeg
1.6466624310523635e+18,-3470.0,8146.0,1561.0,frame_8768.jpeg
1.6466624311064159e+18,-2800.0,8328.0,803.0,frame_8769.jpeg
1.646662431153286e+18,-2580.0,8411.0,783.0,frame_8770.jpeg
1.6466624312062067e+18,-2131.0,8229.0,759.0,frame_8771.jpeg
1.6466624312522084e+18,-1701.0,7958.0,806.0,frame_8772.jpeg
1.6466624313070277e+18,-1548.0,7816.0,1252.0,frame_8773.jpeg
1.6466624313524506e+18,-1560.0,7793.0,1575.0,frame_8774.jpeg
1.6466624314062413e+18,-1465.0,7657.0,1750.0,frame_8775.jpeg
1.646662431452175e+18,-1091.0,7534.0,1940.0,frame_8776.jpeg
1.6466624315062715e+18,-1003.0,7554.0,1984.0,frame_8777.jpeg
1.6466624315533297e+18,-1247.0,7500.0,2085.0,frame_8778.jpeg
1.6466624316031327e+18,-1506.0,7287.0,1903.0,frame_8779.jpeg
1.6466624316533514e+18,-1525.0,7592.0,1466.0,frame_8780.jpeg
1.646662431706379e+18,-1336.0,7747.0,1416.0,frame_8781.jpeg
1.646662431752362e+18,-1558.0,10190.0,1528.0,frame_8782.jpeg
1.6466624318030205e+18,-1246.0,11417.0,1710.0,frame_8783.jpeg
1.646662431854116e+18,246.0,10671.0,2299.0,frame_8784.jpeg
1.6466624319031708e+18,1456.0,8041.0,3253.0,frame_8785.jpeg
1.6466624319539113e+18,2730.0,5555.0,4630.0,frame_8786.jpeg
1.6466624320056038e+18,3105.0,4058.0,4860.0,frame_8787.jpeg
1.6466624320725737e+18,3492.0,4022.0,4275.0,frame_8788.jpeg
1.6466619965107098e+18,-5391.0,5412.0,2424.0,frame_88.jpeg
1.6466624374119214e+18,-6344.0,3377.0,3800.0,frame_8895.jpeg
1.6466624374613824e+18,-6381.0,3809.0,3556.0,frame_8896.jpeg
1.6466624375098688e+18,-6273.0,3657.0,3436.0,frame_8897.jpeg
1.6466624375618488e+18,-6135.0,3188.0,3624.0,frame_8898.jpeg
1.646662437611058e+18,-6102.0,3557.0,3809.0,frame_8899.jpeg
1.646661996560565e+18,-5347.0,5474.0,2434.0,frame_89.jpeg
1.646662437661693e+18,-6188.0,2619.0,4135.0,frame_8900.jpeg
1.6466624377120115e+18,-6201.0,2170.0,4258.0,frame_8901.jpeg
1.6466624377601334e+18,-6074.0,2449.0,4059.0,frame_8902.jpeg
1.6466624378121116e+18,-6224.0,2740.0,3957.0,frame_8903.jpeg
1.6466624378616317e+18,-6540.0,247.0,4956.0,frame_8904.jpeg
1.6466624379118031e+18,-6626.0,140.0,5132.0,frame_8905.jpeg
1.646662437965306e+18,-6413.0,877.0,4899.0,frame_8906.jpeg
1.6466624380101156e+18,-6238.0,2332.0,4357.0,frame_8907.jpeg
1.6466624380610624e+18,-6055.0,1520.0,4313.0,frame_8908.jpeg
1.646662438113177e+18,-6164.0,1972.0,4396.0,frame_8909.jpeg
1.6466624381614602e+18,-5929.0,1915.0,4404.0,frame_8910.jpeg
1.6466624382130465e+18,-5992.0,855.0,4632.0,frame_8911.jpeg
1.6466624382616253e+18,-6192.0,1440.0,4372.0,frame_8912.jpeg
1.64666243831361e+18,-6140.0,1511.0,4655.0,frame_8913.jpeg
1.6466624383651658e+18,-5944.0,405.0,4545.0,frame_8914.jpeg
