timestamp,a_left_wristPose,b_left_wristPose,c_left_wristPose, ASSEMBLY1_BIMANUAL
1.6450229557065795e+18,1831.0,-2195.0,-7375.0,1
1.645022955757688e+18,1791.0,-2112.0,-7363.0,1
1.6450229558060475e+18,1764.0,-1988.0,-7581.0,1
1.645022955858732e+18,1820.0,-2141.0,-7509.0,1
1.645022955905211e+18,1845.0,-2098.0,-7547.0,1
1.6450229559580332e+18,1683.0,-2085.0,-7573.0,1
1.645022956006086e+18,1596.0,-1931.0,-7416.0,1
1.645022956058522e+18,1630.0,-1701.0,-7523.0,1
1.6450229561028012e+18,1729.0,-2046.0,-7532.0,1
1.6450229561589332e+18,1476.0,-2805.0,-6862.0,1
1.6450229562049006e+18,1013.0,-3614.0,-5997.0,1
1.64502295625856e+18,336.0,-3306.0,-6895.0,1
1.6450229563096038e+18,268.0,-4435.0,-6641.0,1
1.6450229563424381e+18,289.0,-3988.0,-6388.0,1
1.645022956458007e+18,291.0,-4025.0,-6399.0,1
1.645022956458007e+18,291.0,-4025.0,-6399.0,1
1.6450229565182461e+18,281.0,-4051.0,-6450.0,1
1.6450229565755878e+18,264.0,-4107.0,-6488.0,1
1.6450229565755878e+18,264.0,-4107.0,-6488.0,1
1.6450229566512722e+18,242.0,-4216.0,-6503.0,1
1.645022956724327e+18,219.0,-4362.0,-6489.0,1
1.6450229567637711e+18,191.0,-4520.0,-6445.0,1
1.6450229568085225e+18,-1312.0,-7463.0,-1756.0,1
1.6450229568580099e+18,-3697.0,-7932.0,318.0,1
1.6450229569075023e+18,-4129.0,-8087.0,23.0,1
1.6450229569562437e+18,-4403.0,-7829.0,90.0,1
1.6450229570112248e+18,-4659.0,-7450.0,494.0,1
1.6450229596593098e+18,522.0,-8522.0,786.0,1
1.6450229597055913e+18,322.0,-7222.0,2117.0,1
1.6450229597557588e+18,306.0,-7085.0,2326.0,1
1.6450229598293501e+18,295.0,-7007.0,2510.0,1
1.645022959881508e+18,286.0,-6954.0,2707.0,1
1.6450229599203868e+18,281.0,-6949.0,2886.0,1
1.6450229599512417e+18,316.0,-7036.0,3529.0,1
1.645022959997073e+18,293.0,-6880.0,3814.0,1
1.645022960061675e+18,264.0,-6825.0,3979.0,1
1.6450229601079117e+18,254.0,-6809.0,4116.0,1
1.6450229601079117e+18,254.0,-6809.0,4116.0,1
1.645022960215468e+18,260.0,-6779.0,4240.0,1
1.645022960215468e+18,260.0,-6779.0,4240.0,1
1.64502296030583e+18,272.0,-6701.0,4363.0,1
1.6450229603698885e+18,285.0,-6589.0,4488.0,1
1.6450229604362102e+18,288.0,-6438.0,4616.0,1
1.6450229604608033e+18,260.0,-5798.0,5027.0,1
1.645022960506388e+18,250.0,-5509.0,5295.0,1
1.6450229605612833e+18,837.0,-3218.0,8261.0,1
1.6450229606161864e+18,1204.0,-2858.0,8381.0,1
1.6450229606593672e+18,1118.0,-2280.0,7816.0,1
1.6450229607156206e+18,994.0,-2332.0,7467.0,1
1.645022960763752e+18,956.0,-2144.0,7387.0,1
1.6450229608143342e+18,486.0,-1696.0,8152.0,1
1.6450229608608092e+18,591.0,-1582.0,8785.0,1
1.645022960913666e+18,728.0,-1219.0,8976.0,1
1.6450229609627927e+18,1033.0,-2377.0,8727.0,1
1.645022961015975e+18,1269.0,-2403.0,7594.0,1
1.6450229610625203e+18,1147.0,-2312.0,7254.0,1
1.6450229611088072e+18,783.0,-2915.0,6538.0,1
1.6450229611627067e+18,1653.0,-7583.0,3758.0,1
1.6450229612140224e+18,1921.0,-8530.0,2192.0,1
1.6450229612621012e+18,1996.0,-8419.0,527.0,1
1.645022961313833e+18,1824.0,-8057.0,-605.0,1
1.645022961362618e+18,1608.0,-7352.0,-1171.0,1
1.645022961413506e+18,1827.0,-6799.0,-2274.0,1
1.645022961468458e+18,2054.0,-7869.0,-2442.0,1
1.6450229615123205e+18,2293.0,-7279.0,-2895.0,1
1.6450229615665377e+18,2297.0,-7500.0,-2760.0,1
1.64502296161369e+18,2060.0,-7654.0,-2298.0,1
1.64502296166284e+18,1953.0,-7598.0,-2122.0,1
1.6450229616949834e+18,2030.0,-7588.0,-1804.0,1
1.6450229616949834e+18,2030.0,-7588.0,-1804.0,1
1.6450229616949834e+18,2030.0,-7588.0,-1804.0,1
1.6450229616949834e+18,2030.0,-7588.0,-1804.0,1
1.645022962059789e+18,2070.0,-7651.0,-1709.0,1
1.645022962059789e+18,2070.0,-7651.0,-1709.0,1
1.645022962059789e+18,2070.0,-7651.0,-1709.0,1
1.645022962059789e+18,2070.0,-7651.0,-1709.0,1
1.645022962104767e+18,2096.0,-7703.0,-1667.0,1
1.645022962140319e+18,2121.0,-7717.0,-1599.0,1
1.645022962241856e+18,2131.0,-7703.0,-1491.0,1
1.6450229622866122e+18,2128.0,-7667.0,-1377.0,1
1.6450229622991255e+18,2111.0,-7694.0,-1142.0,1
1.6450229623869233e+18,2097.0,-7756.0,-1017.0,1
1.6450229624132936e+18,1976.0,-7809.0,-389.0,1
1.6450229624672957e+18,1823.0,-8426.0,-1042.0,1
1.6450229625158003e+18,2115.0,-7165.0,-2834.0,1
1.6450229625671434e+18,2379.0,-6256.0,-4597.0,1
1.6450229626157082e+18,2281.0,-5179.0,-5657.0,1
1.6450229626636657e+18,2327.0,-4508.0,-6316.0,1
1.6450229627119037e+18,2370.0,-4112.0,-6735.0,1
1.645022962766258e+18,2199.0,-4216.0,-6498.0,1
1.6450229628166129e+18,2123.0,-4292.0,-6220.0,1
1.6450229628613143e+18,2153.0,-4549.0,-5974.0,1
1.6450229629169728e+18,2204.0,-4964.0,-5646.0,1
1.6450229629681203e+18,2281.0,-5094.0,-5646.0,1
1.6450229630161859e+18,2385.0,-5126.0,-5640.0,1
1.6450229630650604e+18,2376.0,-5176.0,-5538.0,1
1.645022963115128e+18,2419.0,-5455.0,-5575.0,1
1.6450229631620303e+18,2527.0,-5532.0,-5627.0,1
