timestamp,a_right_backPose,b_right_backPose,c_right_backPose, DELIVERY_RIGHT
1.6461449497208525e+18,4965.0,1034.0,-5466.0,1
1.646144949777953e+18,5861.0,769.0,-5756.0,1
1.6461449498280195e+18,4254.0,794.0,-6298.0,1
1.646144949873427e+18,4969.0,820.0,-6936.0,1
1.6461449499271068e+18,5032.0,-930.0,-5087.0,1
1.646144949978575e+18,2332.0,-4533.0,-927.0,1
1.6461449500248535e+18,4409.0,-5479.0,-490.0,1
1.6461449500755512e+18,9833.0,-5398.0,-3077.0,1
1.6461449501281974e+18,8336.0,-2369.0,-7592.0,1
1.646144950180059e+18,8354.0,-363.0,-11093.0,1
1.6461449502273308e+18,6823.0,-1230.0,-8755.0,1
1.6461449502795203e+18,5873.0,-2442.0,-5052.0,1
1.646144950327372e+18,4906.0,-3888.0,-2044.0,1
1.6461449503775457e+18,-1081.0,-878.0,-7315.0,1
1.6461449504250132e+18,3245.0,-4097.0,-4451.0,1
1.646144950475238e+18,4972.0,-1439.0,-4880.0,1
1.6461449505274742e+18,3987.0,-454.0,-5417.0,1
1.6461449505810127e+18,4705.0,1659.0,-7766.0,1
1.6461449506188526e+18,4264.0,1559.0,-7706.0,1
1.6461449506798907e+18,1947.0,919.0,-7127.0,1
1.6461449507246487e+18,2850.0,21.0,-7051.0,1
1.6461449507752714e+18,3415.0,367.0,-7715.0,1
1.6461449508301233e+18,3211.0,546.0,-7494.0,1
1.6461449508771046e+18,2507.0,628.0,-7999.0,1
1.6461449509312049e+18,3113.0,523.0,-7995.0,1
1.6461449509798008e+18,2550.0,1024.0,-8076.0,1
1.6461449510306696e+18,3330.0,1414.0,-8272.0,1
1.6461449510773755e+18,3150.0,1229.0,-6510.0,1
1.646144951131651e+18,3078.0,1888.0,-7469.0,1
1.6461449511797412e+18,3141.0,1739.0,-7529.0,1
1.6461449512309e+18,2621.0,1206.0,-7338.0,1
1.6461449512803428e+18,2650.0,1027.0,-6932.0,1
1.646144951331523e+18,3043.0,1114.0,-7119.0,1
1.6461449513799964e+18,3706.0,1473.0,-7554.0,1
1.6461449514304412e+18,3803.0,1524.0,-6728.0,1
1.6461449514791252e+18,3037.0,1309.0,-6615.0,1
1.6461449515306445e+18,4576.0,2188.0,-7248.0,1
1.6461449515789158e+18,3938.0,1949.0,-6614.0,1
1.6461449516318497e+18,5558.0,1851.0,-7074.0,1
1.6461449516771712e+18,5112.0,1331.0,-6272.0,1
1.64614495172757e+18,4462.0,1265.0,-6440.0,1
1.6461449517806525e+18,4373.0,1231.0,-6140.0,1
1.6461449518313157e+18,5019.0,1355.0,-6900.0,1
1.6461449518805197e+18,4855.0,1318.0,-6472.0,1
1.6461449519308457e+18,4892.0,1329.0,-6450.0,1
1.6461449519755428e+18,4653.0,1077.0,-6014.0,1
1.6461449520292564e+18,5669.0,1032.0,-5698.0,1
1.6461449520791322e+18,4963.0,1044.0,-5558.0,1
1.6461449521299932e+18,6604.0,1158.0,-6124.0,1
1.6461449521785134e+18,4770.0,2088.0,-6707.0,1
1.6461449522300232e+18,5268.0,1337.0,-7053.0,1
1.6461449522783928e+18,3045.0,-171.0,-4893.0,1
1.646144952329859e+18,3322.0,-4050.0,-1255.0,1
1.6461449523804982e+18,4551.0,-3781.0,-1072.0,1
1.6461449524315622e+18,8210.0,-1358.0,-4495.0,1
1.6461449524806308e+18,7346.0,-1676.0,-7074.0,1
1.6461449525304579e+18,8416.0,-462.0,-9829.0,1
1.6461449525827108e+18,6469.0,-1459.0,-8513.0,1
1.6461449526309156e+18,5545.0,-697.0,-7637.0,1
1.6461449526804035e+18,6558.0,-2705.0,-5584.0,1
1.6461449527290606e+18,2719.0,-4215.0,-3136.0,1
1.6461449527846574e+18,1875.0,-1571.0,-5518.0,1
1.6461449528309266e+18,1683.0,-1735.0,-7208.0,1
1.6461449528791416e+18,2048.0,-560.0,-9023.0,1
1.646144952930119e+18,3243.0,-1227.0,-7285.0,1
1.646144952981359e+18,3798.0,-1994.0,-7080.0,1
1.646144953030956e+18,3717.0,-1431.0,-7857.0,1
1.646144953081662e+18,3282.0,-2129.0,-6924.0,1
1.646144953130147e+18,3017.0,-856.0,-7626.0,1
1.6461449531817247e+18,2462.0,-737.0,-7305.0,1
1.6461449532313723e+18,3089.0,-531.0,-7818.0,1
1.6461449532853332e+18,2154.0,-55.0,-7914.0,1
1.6461449533292867e+18,1972.0,-77.0,-7755.0,1
1.646144953384966e+18,2338.0,347.0,-8210.0,1
1.6461449534312077e+18,1544.0,-85.0,-7681.0,1
1.64614495348217e+18,1179.0,-174.0,-7760.0,1
1.6461449535319916e+18,743.0,-797.0,-7856.0,1
1.6461449535810153e+18,976.0,-1918.0,-7882.0,1
1.6461449536300598e+18,930.0,-2064.0,-7769.0,1
1.6461449536803924e+18,542.0,-1990.0,-7871.0,1
1.6461449537306076e+18,-345.0,-988.0,-8141.0,1
1.6461449537818985e+18,113.0,-8.0,-8901.0,1
1.6461449538252892e+18,396.0,-539.0,-8119.0,1
1.646144953882335e+18,600.0,-342.0,-8048.0,1
1.646144953930548e+18,973.0,-120.0,-8581.0,1
1.6461449539816013e+18,-76.0,-289.0,-7914.0,1
1.6461449540357368e+18,316.0,-94.0,-8424.0,1
1.6461449540836052e+18,211.0,-764.0,-8079.0,1
1.6461449541312276e+18,-1637.0,-93.0,-7827.0,1
1.646144954181286e+18,-802.0,-1379.0,-6530.0,1
1.6461449542334456e+18,896.0,-4687.0,-4660.0,1
1.6461449542807424e+18,3295.0,-6645.0,-3203.0,1
1.6461449543357594e+18,4628.0,-4098.0,-5078.0,1
1.6461449543810312e+18,5011.0,-3494.0,-6585.0,1
1.646144954432505e+18,5384.0,-3002.0,-7915.0,1
1.646144954484041e+18,5446.0,-1945.0,-9121.0,1
1.6461449545340134e+18,6153.0,-1521.0,-9271.0,1
1.6461449545820867e+18,4551.0,-3649.0,-6775.0,1
1.6461449546321564e+18,3308.0,-4529.0,-3726.0,1
1.6461449546835587e+18,2985.0,-4410.0,-3067.0,1
1.6461449547356603e+18,4087.0,-2625.0,-6422.0,1
1.6461449547832678e+18,4438.0,-1207.0,-7767.0,1
1.646144954832907e+18,3972.0,-181.0,-7153.0,1
1.646144954880406e+18,4901.0,354.0,-7026.0,1
1.646144954935995e+18,4085.0,645.0,-6765.0,1
1.6461449549831465e+18,3540.0,1107.0,-6649.0,1
1.6461449550322235e+18,4117.0,1185.0,-6647.0,1
1.646144955082326e+18,4144.0,927.0,-6319.0,1
1.646144955134629e+18,5060.0,1125.0,-6889.0,1
1.6461449551818865e+18,4421.0,915.0,-5917.0,1
1.6461449552360586e+18,5276.0,1018.0,-6011.0,1
1.64614495528427e+18,5729.0,1235.0,-6037.0,1
1.6461449553344074e+18,6166.0,1307.0,-5911.0,1
1.646144955380638e+18,5430.0,869.0,-5564.0,1
1.6461449554331287e+18,5247.0,667.0,-5691.0,1
1.6461449554833797e+18,5701.0,510.0,-6332.0,1
1.6461449555343235e+18,5532.0,-286.0,-5212.0,1
1.64614495558339e+18,4863.0,-1445.0,-2991.0,1
1.6461449556338806e+18,4503.0,-2967.0,-1805.0,1
1.6461449556862584e+18,3918.0,-2321.0,-3240.0,1
1.6461449557346365e+18,4797.0,-1477.0,-5630.0,1
1.6461449557833907e+18,5574.0,-1242.0,-7046.0,1
1.646144955822054e+18,6036.0,-1873.0,-7129.0,1
1.6461449558844398e+18,3854.0,-1616.0,-7355.0,1
1.6461449559345677e+18,3212.0,-2490.0,-8179.0,1
1.6461449559873759e+18,2673.0,-2949.0,-6867.0,1
1.6461449560350075e+18,875.0,-2693.0,-7098.0,1
1.6461449560886185e+18,2174.0,-2084.0,-7552.0,1
1.6461449561360468e+18,1592.0,-1435.0,-7799.0,1
1.646144956186389e+18,1514.0,-1213.0,-7384.0,1
1.6461449562369313e+18,1692.0,-1373.0,-5495.0,1
1.6461449562849098e+18,1649.0,-2250.0,-5178.0,1
1.6461449563344911e+18,396.0,-304.0,-6417.0,1
1.6461450307798587e+18,-4094.0,-7574.0,-4800.0,1
1.646145030832103e+18,-1708.0,-7959.0,-5316.0,1
1.6461450308722053e+18,-84.0,-7938.0,-4798.0,1
1.6461450309285394e+18,1067.0,-7087.0,-2026.0,1
1.6461450309784061e+18,1355.0,-6209.0,-787.0,1
1.6461450310301908e+18,1969.0,-5312.0,-1336.0,1
1.6461450310781279e+18,2250.0,-4644.0,-2811.0,1
1.64614503113033e+18,3927.0,-4657.0,-2514.0,1
1.6461450311789724e+18,4910.0,-5240.0,-2957.0,1
1.6461450312283999e+18,6036.0,-5697.0,-1595.0,1
1.6461450312838802e+18,5421.0,-5655.0,-2491.0,1
1.646145031331006e+18,5588.0,-6029.0,-1043.0,1
1.6461450313978908e+18,6025.0,-4994.0,-1477.0,1
1.6461450314309143e+18,6197.0,-4422.0,-1604.0,1
1.6461450314805903e+18,7028.0,-5620.0,-2001.0,1
1.6461450315310979e+18,7100.0,-4262.0,-1339.0,1
1.6461450315798615e+18,7040.0,-4597.0,-631.0,1
1.6461450316284808e+18,6267.0,-4007.0,-2054.0,1
1.6461450316800046e+18,7373.0,-4070.0,-2221.0,1
1.646145031731235e+18,6535.0,-3434.0,-1744.0,1
1.6461450317757916e+18,6942.0,-2927.0,-1878.0,1
1.6461450318308288e+18,7157.0,-2906.0,-2706.0,1
1.6461450318754255e+18,8777.0,-2676.0,-2678.0,1
1.6461450319318246e+18,6301.0,-1653.0,-2072.0,1
1.6461450319777582e+18,6321.0,-2277.0,-1400.0,1
1.6461450320307863e+18,7313.0,-2331.0,-1725.0,1
1.6461450320830502e+18,8027.0,-1917.0,-2233.0,1
1.6461450321317926e+18,7267.0,-1943.0,-2172.0,1
1.6461450321861645e+18,8056.0,-3022.0,-2761.0,1
1.6461450322311918e+18,6991.0,-2669.0,-2255.0,1
1.6461450322808906e+18,8057.0,-2723.0,-2024.0,1
1.646145032327643e+18,7501.0,-2695.0,-1134.0,1
1.6461450323803333e+18,7677.0,-2871.0,-979.0,1
1.646145032426496e+18,7375.0,-3118.0,-925.0,1
1.6461450324813796e+18,7044.0,-4116.0,-1359.0,1
1.646145032524557e+18,6862.0,-3706.0,-1607.0,1
1.6461450325782313e+18,5782.0,-4063.0,-1332.0,1
1.6461450326290685e+18,4387.0,-4460.0,-728.0,1
1.6461450326855544e+18,3275.0,-4960.0,471.0,1
1.6461450327276908e+18,2855.0,-4826.0,529.0,1
1.6461450327798797e+18,2736.0,-4183.0,-158.0,1
1.6461450328235005e+18,1908.0,-4947.0,-2138.0,1
1.6461450328783127e+18,1356.0,-3228.0,-4832.0,1
1.6461450329301699e+18,1396.0,-3455.0,-7365.0,1
1.6461450329798858e+18,-787.0,-2031.0,-10578.0,1
