timestamp,a_left_wristPose,b_left_wristPose,c_left_wristPose,File Name
1.646388030690353e+18,1227.0,658.0,8385.0,frame_10561.jpeg
1.6463880307517504e+18,956.0,1122.0,8406.0,frame_10562.jpeg
1.6463880308000507e+18,1304.0,571.0,8516.0,frame_10563.jpeg
1.6463880308511368e+18,1410.0,-271.0,8205.0,frame_10564.jpeg
1.6463880309000146e+18,1518.0,210.0,8524.0,frame_10565.jpeg
1.646388030949154e+18,1288.0,110.0,8424.0,frame_10566.jpeg
1.646388031001365e+18,1330.0,279.0,8501.0,frame_10567.jpeg
1.64638803105402e+18,1564.0,72.0,8401.0,frame_10568.jpeg
1.6463880310978107e+18,1701.0,-354.0,8307.0,frame_10569.jpeg
1.6463880311480632e+18,1765.0,-489.0,8234.0,frame_10570.jpeg
1.646388031198996e+18,1720.0,-360.0,8361.0,frame_10571.jpeg
1.646388031254604e+18,1692.0,-357.0,8347.0,frame_10572.jpeg
1.6463880312978988e+18,1848.0,-734.0,8330.0,frame_10573.jpeg
1.6463880313503862e+18,1903.0,-517.0,8285.0,frame_10574.jpeg
1.6463880313986132e+18,1821.0,-600.0,8248.0,frame_10575.jpeg
1.6463880314531064e+18,1570.0,-478.0,8208.0,frame_10576.jpeg
1.6463880314991288e+18,1553.0,-451.0,8353.0,frame_10577.jpeg
1.646388031549476e+18,1746.0,-398.0,8371.0,frame_10578.jpeg
1.6463880315976934e+18,1993.0,-344.0,8323.0,frame_10579.jpeg
1.6463880316494587e+18,1912.0,-246.0,8297.0,frame_10580.jpeg
1.64638803169837e+18,1634.0,-186.0,8290.0,frame_10581.jpeg
1.6463880317539346e+18,1634.0,-342.0,8277.0,frame_10582.jpeg
1.6463880317990994e+18,1894.0,-497.0,8308.0,frame_10583.jpeg
1.6463880318519414e+18,2061.0,-790.0,8218.0,frame_10584.jpeg
1.646388031898351e+18,1987.0,-575.0,8340.0,frame_10585.jpeg
1.6463880319510065e+18,1943.0,-547.0,8241.0,frame_10586.jpeg
1.6463880320001316e+18,1732.0,-629.0,8254.0,frame_10587.jpeg
1.6463880320501512e+18,1760.0,-433.0,8325.0,frame_10588.jpeg
1.6463880320950612e+18,1858.0,-343.0,8343.0,frame_10589.jpeg
1.6463880321535762e+18,1998.0,-422.0,8180.0,frame_10590.jpeg
1.6463880321981425e+18,2087.0,-479.0,8308.0,frame_10591.jpeg
1.6463880322525422e+18,1804.0,-300.0,8235.0,frame_10592.jpeg
1.6463880323026196e+18,1821.0,-756.0,8073.0,frame_10593.jpeg
1.6463880323529748e+18,2174.0,-685.0,8205.0,frame_10594.jpeg
1.6463880324027837e+18,2336.0,-686.0,8250.0,frame_10595.jpeg
1.6463880324531116e+18,2243.0,-423.0,8267.0,frame_10596.jpeg
1.6463880324997501e+18,2084.0,-741.0,8139.0,frame_10597.jpeg
1.6463880325527368e+18,1896.0,-770.0,8198.0,frame_10598.jpeg
1.6463880326043942e+18,2034.0,-360.0,8238.0,frame_10599.jpeg
1.6463875072934694e+18,-8001.0,-1256.0,2444.0,frame_106.jpeg
1.6463880326521853e+18,2135.0,-606.0,8219.0,frame_10600.jpeg
1.646388032702156e+18,2245.0,-717.0,8141.0,frame_10601.jpeg
1.6463880327518267e+18,2133.0,-210.0,8233.0,frame_10602.jpeg
1.646388032804622e+18,1946.0,-293.0,8156.0,frame_10603.jpeg
1.6463880328345055e+18,2061.0,-535.0,8043.0,frame_10604.jpeg
1.646388032906231e+18,2211.0,-983.0,8086.0,frame_10605.jpeg
1.6463880329524037e+18,2415.0,-913.0,8198.0,frame_10606.jpeg
1.6463880329992566e+18,2296.0,-615.0,8179.0,frame_10607.jpeg
1.6463880330487662e+18,2187.0,-750.0,8150.0,frame_10608.jpeg
1.646388033099548e+18,2159.0,-763.0,8088.0,frame_10609.jpeg
1.6463880331508503e+18,2141.0,-511.0,8236.0,frame_10610.jpeg
1.6463880332046653e+18,2214.0,-729.0,8142.0,frame_10611.jpeg
1.6463880332521654e+18,2231.0,-450.0,8197.0,frame_10612.jpeg
1.6463880333029425e+18,2113.0,-367.0,8099.0,frame_10613.jpeg
1.6463880333508882e+18,2132.0,-430.0,8159.0,frame_10614.jpeg
1.6463880334019625e+18,2405.0,-1325.0,7934.0,frame_10615.jpeg
1.6463880334517307e+18,2316.0,-495.0,8173.0,frame_10616.jpeg
1.6463880335020047e+18,2301.0,-444.0,8240.0,frame_10617.jpeg
1.6463880335504102e+18,2386.0,-1076.0,8046.0,frame_10618.jpeg
1.6463880336031296e+18,2379.0,-911.0,8134.0,frame_10619.jpeg
1.6463880336506765e+18,2366.0,-645.0,8087.0,frame_10620.jpeg
1.646388033703042e+18,2268.0,-851.0,8148.0,frame_10621.jpeg
1.6463880337511073e+18,2342.0,-1026.0,8074.0,frame_10622.jpeg
1.6463880337972646e+18,2134.0,-790.0,8070.0,frame_10623.jpeg
1.6463880338483855e+18,2407.0,-791.0,8137.0,frame_10624.jpeg
1.6463880339016753e+18,2237.0,-662.0,8041.0,frame_10625.jpeg
1.6463880339551416e+18,2239.0,-867.0,8134.0,frame_10626.jpeg
1.6463880340098537e+18,2369.0,-766.0,8042.0,frame_10627.jpeg
1.6463880340562194e+18,2481.0,-896.0,8032.0,frame_10628.jpeg
1.6463880341025044e+18,2429.0,-802.0,8154.0,frame_10629.jpeg
1.6463880341563707e+18,2170.0,-477.0,8155.0,frame_10630.jpeg
1.646388034203896e+18,2326.0,-779.0,8050.0,frame_10631.jpeg
1.6463880342531443e+18,2514.0,-758.0,8098.0,frame_10632.jpeg
1.6463880342999818e+18,2357.0,-656.0,8155.0,frame_10633.jpeg
1.6463880343552904e+18,2415.0,-1001.0,8004.0,frame_10634.jpeg
1.646388034401165e+18,2463.0,-553.0,8165.0,frame_10635.jpeg
1.6463880344510776e+18,2352.0,-655.0,8186.0,frame_10636.jpeg
1.6463880345010637e+18,2351.0,-894.0,8015.0,frame_10637.jpeg
1.6463880345528049e+18,2387.0,-812.0,8161.0,frame_10638.jpeg
1.6463880346003433e+18,2314.0,-976.0,8029.0,frame_10639.jpeg
1.646388034656645e+18,2148.0,-651.0,8169.0,frame_10640.jpeg
1.6463880347006095e+18,2488.0,-1153.0,7952.0,frame_10641.jpeg
1.6463880347547064e+18,2355.0,-563.0,8248.0,frame_10642.jpeg
1.6463880348028577e+18,2293.0,-964.0,8048.0,frame_10643.jpeg
1.646388034854707e+18,2361.0,-917.0,8192.0,frame_10644.jpeg
1.646388034907166e+18,2458.0,-849.0,8031.0,frame_10645.jpeg
1.6463880349531318e+18,2499.0,-1076.0,8101.0,frame_10646.jpeg
1.6463880349999386e+18,2058.0,-243.0,8236.0,frame_10647.jpeg
1.646388035053036e+18,2193.0,-87.0,8132.0,frame_10648.jpeg
1.6463880351059423e+18,2623.0,-1177.0,7944.0,frame_10649.jpeg
1.6463880351539415e+18,2342.0,-1515.0,7803.0,frame_10650.jpeg
1.6463880352052974e+18,1763.0,512.0,8494.0,frame_10651.jpeg
1.6463880352551424e+18,2392.0,-762.0,8114.0,frame_10652.jpeg
1.6463880352975368e+18,2036.0,-135.0,8481.0,frame_10653.jpeg
1.6463880353566597e+18,2117.0,-861.0,8025.0,frame_10654.jpeg
1.64638803540417e+18,2441.0,-656.0,8140.0,frame_10655.jpeg
1.6463880354550108e+18,2507.0,-873.0,8062.0,frame_10656.jpeg
1.6463880355039913e+18,2192.0,-575.0,8225.0,frame_10657.jpeg
1.6463880355550968e+18,2110.0,-634.0,8261.0,frame_10658.jpeg
1.6463880356065144e+18,2331.0,-645.0,8183.0,frame_10659.jpeg
1.6463880356544873e+18,2477.0,-752.0,8103.0,frame_10660.jpeg
1.64638803570918e+18,2308.0,-583.0,8093.0,frame_10661.jpeg
1.646388035746458e+18,1937.0,-638.0,8148.0,frame_10662.jpeg
1.6463880358103516e+18,2185.0,-573.0,8050.0,frame_10663.jpeg
1.646388035856637e+18,2240.0,-661.0,8051.0,frame_10664.jpeg
1.6463880359097874e+18,2466.0,-892.0,8300.0,frame_10665.jpeg
1.6463880359556252e+18,2440.0,-756.0,8120.0,frame_10666.jpeg
1.6463880360096886e+18,2336.0,-593.0,8130.0,frame_10667.jpeg
1.6463880360549071e+18,2391.0,-805.0,8266.0,frame_10668.jpeg
1.6463880361069222e+18,2249.0,-783.0,8035.0,frame_10669.jpeg
1.6463880361559892e+18,2350.0,-905.0,8201.0,frame_10670.jpeg
1.6463880362092134e+18,2352.0,-853.0,8174.0,frame_10671.jpeg
1.6463880362346624e+18,2217.0,-557.0,8154.0,frame_10672.jpeg
1.6463880363142825e+18,2193.0,-517.0,8167.0,frame_10673.jpeg
1.6463880363591885e+18,2192.0,-535.0,8163.0,frame_10674.jpeg
1.6463880364482017e+18,2195.0,-563.0,8158.0,frame_10675.jpeg
1.6463875073445176e+18,-8021.0,-1302.0,2435.0,frame_107.jpeg
1.6463875073935813e+18,-7998.0,-1277.0,2420.0,frame_108.jpeg
1.6463875074446548e+18,-7987.0,-1286.0,2403.0,frame_109.jpeg
1.646387507488681e+18,-8034.0,-1381.0,2457.0,frame_110.jpeg
1.6463875571247777e+18,2109.0,-4755.0,5096.0,frame_1101.jpeg
