timestamp,a_right_wristPose,b_right_wristPose,c_right_wristPose, BOLT_LEFT
1.6449324778520973e+18,-1456.0,4813.0,6577.0,1
1.644932477904432e+18,-1583.0,4436.0,6669.0,1
1.6449324779495073e+18,-1447.0,4723.0,6666.0,1
1.644932478003089e+18,-1384.0,4770.0,6629.0,1
1.6449324780523318e+18,-1471.0,4672.0,6540.0,1
1.6449324781025057e+18,-1438.0,4733.0,6656.0,1
1.6449324781550715e+18,-1385.0,4762.0,6600.0,1
1.6449324782045192e+18,-1420.0,4710.0,6602.0,1
1.6449324782488136e+18,-1395.0,4641.0,6589.0,1
1.6449324783083092e+18,-1466.0,4717.0,6622.0,1
1.644932478349659e+18,-1471.0,4685.0,6602.0,1
1.6449324784041457e+18,-1305.0,4725.0,6512.0,1
1.6449324784520205e+18,-1361.0,4691.0,6600.0,1
1.644932478502854e+18,-1301.0,4813.0,6569.0,1
1.6449324785507712e+18,-1307.0,4943.0,6611.0,1
1.6449324786076396e+18,-1688.0,4417.0,6692.0,1
1.644932478654958e+18,-1467.0,4609.0,6705.0,1
1.6449324787046093e+18,-1313.0,4751.0,6680.0,1
1.6449324787584182e+18,-1532.0,4593.0,6534.0,1
1.6449324788022618e+18,-1630.0,4533.0,6613.0,1
1.6449324788552868e+18,-1457.0,4691.0,6671.0,1
1.6449324789046147e+18,-1527.0,4540.0,6604.0,1
1.644932478961955e+18,-1407.0,4824.0,6478.0,1
1.6449324790051453e+18,-1397.0,4738.0,6471.0,1
1.6449324790555474e+18,-1611.0,4829.0,6617.0,1
1.6449324790999552e+18,-1607.0,4656.0,6603.0,1
1.6449324791545574e+18,-1322.0,4849.0,6580.0,1
1.6449324792052058e+18,-1398.0,4756.0,6601.0,1
1.6449324792543562e+18,-1333.0,4867.0,6555.0,1
1.6449324793013181e+18,-1362.0,4790.0,6505.0,1
1.644932479355888e+18,-1368.0,4846.0,6610.0,1
1.6449324794096722e+18,-1351.0,4790.0,6548.0,1
1.6449324794548713e+18,-1324.0,4805.0,6531.0,1
1.6449324795100196e+18,-1385.0,4817.0,6624.0,1
1.6449324795549274e+18,-1401.0,4885.0,6577.0,1
1.644932479602827e+18,-1262.0,4810.0,6564.0,1
1.6449324796553644e+18,-1392.0,4814.0,6590.0,1
1.6449324797073267e+18,-1401.0,4789.0,6492.0,1
1.644932479754359e+18,-1398.0,4794.0,6496.0,1
1.644932479806274e+18,-1463.0,4821.0,6494.0,1
1.6449324798558042e+18,-1419.0,4818.0,6535.0,1
1.6449324799111572e+18,-1365.0,4819.0,6539.0,1
1.6449324799578893e+18,-1353.0,4832.0,6545.0,1
1.6449324800074609e+18,-1381.0,4814.0,6456.0,1
1.644932480054031e+18,-1345.0,4879.0,6485.0,1
1.6449324801066301e+18,-1376.0,4883.0,6468.0,1
1.644932480154957e+18,-1341.0,4876.0,6492.0,1
1.6449324802038682e+18,-1264.0,4938.0,6600.0,1
1.6449324802547034e+18,-1260.0,4985.0,6560.0,1
1.6449324803111145e+18,-1350.0,4884.0,6451.0,1
1.6449324803543145e+18,-1260.0,4859.0,6544.0,1
1.6449324804050122e+18,-1209.0,4927.0,6505.0,1
1.6449324804557586e+18,-1383.0,4901.0,6533.0,1
1.64493248050569e+18,-1282.0,4867.0,6586.0,1
1.6449324805551306e+18,-1224.0,4868.0,6504.0,1
1.6449324806091868e+18,-1414.0,4754.0,6571.0,1
1.6449324806535383e+18,-1337.0,4852.0,6477.0,1
1.6449324807098373e+18,-1313.0,4818.0,6535.0,1
1.6449324807545198e+18,-1375.0,4872.0,6511.0,1
1.6449324808087793e+18,-1355.0,4865.0,6576.0,1
1.6449324808558129e+18,-1346.0,4848.0,6565.0,1
1.644932480908467e+18,-1369.0,4786.0,6491.0,1
1.644932480950533e+18,-1382.0,4856.0,6479.0,1
1.6449324810080968e+18,-1346.0,4833.0,6472.0,1
1.6449324810595325e+18,-1296.0,4935.0,6490.0,1
1.6449324811084216e+18,-1264.0,4905.0,6554.0,1
1.644932481160394e+18,-1217.0,5001.0,6483.0,1
1.6449324812098499e+18,-1124.0,5033.0,6564.0,1
1.6449324812569206e+18,-1335.0,5112.0,6453.0,1
1.644932481310444e+18,-1322.0,4811.0,6551.0,1
1.644932481361163e+18,-1172.0,4949.0,6529.0,1
1.644932481409168e+18,-1371.0,4823.0,6457.0,1
1.6449324814609759e+18,-1226.0,4931.0,6453.0,1
1.644932481509965e+18,-1253.0,4984.0,6512.0,1
1.6449324815619684e+18,-1495.0,4746.0,6494.0,1
1.644932481608589e+18,-1350.0,4940.0,6610.0,1
1.6449324816597263e+18,-1310.0,4876.0,6554.0,1
1.6449324817046154e+18,-1376.0,4877.0,6402.0,1
1.6449324817599322e+18,-1513.0,4840.0,6405.0,1
1.6449324818091264e+18,-1360.0,4940.0,6438.0,1
1.6449324818617784e+18,-1307.0,5119.0,6270.0,1
1.6449324819055644e+18,-1629.0,4671.0,6606.0,1
1.644932481957321e+18,-1324.0,4871.0,6635.0,1
1.6449324820089887e+18,-1360.0,4716.0,6498.0,1
1.644932482058429e+18,-1392.0,4816.0,6501.0,1
1.6449324821054945e+18,-1478.0,4743.0,6500.0,1
1.644932482161399e+18,-1408.0,4809.0,6494.0,1
1.6449324822104765e+18,-1434.0,4694.0,6636.0,1
1.6449324822619284e+18,-1367.0,4880.0,6552.0,1
1.644932482306381e+18,-1440.0,4835.0,6488.0,1
1.6449324823571948e+18,-1371.0,4796.0,6567.0,1
1.6449324824049754e+18,-1387.0,4859.0,6545.0,1
1.6449324824630103e+18,-1336.0,4898.0,6533.0,1
1.6449324825054497e+18,-1291.0,4995.0,6563.0,1
1.6449324825599913e+18,-1429.0,4957.0,6423.0,1
1.6449324826116076e+18,-1383.0,4879.0,6558.0,1
1.6449324826608543e+18,-1328.0,4835.0,6608.0,1
1.6449324827096256e+18,-1360.0,4733.0,6508.0,1
1.6449324827557775e+18,-1411.0,4857.0,6514.0,1
1.644932482810391e+18,-1406.0,4854.0,6497.0,1
1.644932482861158e+18,-1365.0,4736.0,6475.0,1
1.6449324829097748e+18,-1495.0,4831.0,6510.0,1
1.644932482961227e+18,-1327.0,4865.0,6598.0,1
1.6449324830107162e+18,-1322.0,4826.0,6521.0,1
1.644932483059855e+18,-1417.0,4859.0,6508.0,1
1.6449324831099453e+18,-1384.0,4885.0,6434.0,1
1.644932483158245e+18,-1365.0,4881.0,6524.0,1
1.6449324832136932e+18,-1312.0,4980.0,6630.0,1
1.644932483261264e+18,-1280.0,4872.0,6665.0,1
1.6449324833102973e+18,-1254.0,4842.0,6442.0,1
1.6449324833580846e+18,-1402.0,4806.0,6388.0,1
1.6449324834108052e+18,-1347.0,4933.0,6555.0,1
1.644932483460533e+18,-1345.0,4933.0,6541.0,1
1.6449324835090068e+18,-1408.0,4784.0,6522.0,1
1.6449324835580826e+18,-1389.0,4817.0,6499.0,1
1.6449324836113667e+18,-1316.0,4859.0,6451.0,1
1.6449324836556198e+18,-1394.0,4925.0,6537.0,1
1.6449324837133302e+18,-1435.0,4825.0,6552.0,1
1.644932483758279e+18,-1389.0,4768.0,6556.0,1
1.6449324838114355e+18,-1272.0,4896.0,6499.0,1
1.6449324838592212e+18,-1328.0,4755.0,6485.0,1
1.644932483911377e+18,-1448.0,4863.0,6459.0,1
1.6449324839600548e+18,-1358.0,4905.0,6528.0,1
1.6449324840094797e+18,-1309.0,5036.0,6464.0,1
1.644932484058275e+18,-1290.0,4902.0,6482.0,1
1.644932484114059e+18,-1399.0,4836.0,6592.0,1
1.6449324841602516e+18,-1280.0,4935.0,6520.0,1
1.6449324842120783e+18,-1254.0,4983.0,6497.0,1
1.6449324842657306e+18,-1229.0,4934.0,6467.0,1
1.6449324843142738e+18,-1321.0,4955.0,6545.0,1
1.6449324843634798e+18,-1293.0,5013.0,6562.0,1
1.6449324844105713e+18,-1117.0,4966.0,6472.0,1
1.6449324844593234e+18,-1310.0,4825.0,6489.0,1
1.6449324845141445e+18,-1391.0,4871.0,6405.0,1
1.644932484564317e+18,-1262.0,4926.0,6492.0,1
1.6449324846074586e+18,-1349.0,4823.0,6519.0,1
1.644932484663968e+18,-1360.0,4797.0,6595.0,1
1.6449324847083292e+18,-1403.0,4888.0,6510.0,1
1.6449324847712952e+18,-1274.0,4906.0,6540.0,1
1.644932484808884e+18,-1362.0,4780.0,6477.0,1
1.6449324848613458e+18,-1339.0,4775.0,6541.0,1
1.6449324849122888e+18,-1274.0,4947.0,6481.0,1
1.6449324849638904e+18,-1210.0,4933.0,6535.0,1
1.6449324850089572e+18,-1248.0,4870.0,6517.0,1
1.6449324850633188e+18,-1208.0,4795.0,6485.0,1
1.644932485108991e+18,-1033.0,5106.0,6487.0,1
