timestamp,a_right_wristPose,b_right_wristPose,c_right_wristPose, DELIVERY_RIGHT
1.6461449497783107e+18,1470.0,-4572.0,6268.0,1
1.6461449498283604e+18,1303.0,-3015.0,6499.0,1
1.6461449498736748e+18,451.0,-2385.0,7051.0,1
1.6461449499274115e+18,1769.0,-3884.0,5884.0,1
1.6461449499788902e+18,3602.0,-2619.0,5845.0,1
1.646144950025144e+18,6310.0,-3821.0,4602.0,1
1.6461449500758674e+18,5385.0,-7254.0,7442.0,1
1.6461449501286118e+18,3815.0,-6266.0,9008.0,1
1.6461449501802734e+18,2072.0,-4323.0,10282.0,1
1.6461449502242836e+18,2540.0,-2753.0,8594.0,1
1.6461449502750298e+18,3106.0,-4018.0,7040.0,1
1.646144950327655e+18,3635.0,-4209.0,5553.0,1
1.646144950381116e+18,1292.0,1765.0,8079.0,1
1.6461449504253266e+18,4445.0,-2851.0,6712.0,1
1.6461449504756076e+18,3291.0,-4032.0,4292.0,1
1.6461449505278577e+18,2630.0,-3278.0,6510.0,1
1.6461449505769308e+18,1869.0,-2369.0,6813.0,1
1.6461449506190781e+18,2080.0,-3492.0,7742.0,1
1.6461449506803254e+18,2829.0,36.0,6034.0,1
1.646144950724916e+18,2925.0,-901.0,7915.0,1
1.6461449507755832e+18,2565.0,-1975.0,7584.0,1
1.646144950830364e+18,1921.0,-1713.0,8133.0,1
1.6461449508742792e+18,1845.0,-863.0,8575.0,1
1.646144950930692e+18,2246.0,-1352.0,8692.0,1
1.6461449509769925e+18,2536.0,-1189.0,8090.0,1
1.6461449510310986e+18,2368.0,-1427.0,8247.0,1
1.646144951080813e+18,2138.0,-1564.0,7813.0,1
1.6461449511320013e+18,2089.0,-1770.0,6888.0,1
1.6461449511800653e+18,2475.0,-1240.0,7222.0,1
1.6461449512312584e+18,2579.0,-1344.0,8332.0,1
1.6461449512756188e+18,2549.0,-1196.0,7611.0,1
1.6461449513318963e+18,2387.0,-1554.0,7790.0,1
1.6461449513802673e+18,2583.0,-2839.0,7491.0,1
1.6461449514307907e+18,2487.0,-2823.0,7174.0,1
1.6461449514794104e+18,2229.0,-1141.0,7347.0,1
1.6461449515310292e+18,2093.0,-3889.0,7506.0,1
1.646144951579309e+18,1935.0,-2130.0,6535.0,1
1.6461449516321636e+18,2044.0,-4716.0,7563.0,1
1.6461449516806313e+18,2211.0,-4196.0,7388.0,1
1.646144951727911e+18,2244.0,-3523.0,6976.0,1
1.6461449517810304e+18,2207.0,-3249.0,7206.0,1
1.6461449518317786e+18,2187.0,-3195.0,7413.0,1
1.6461449518808166e+18,2195.0,-3720.0,6993.0,1
1.6461449519312325e+18,2293.0,-4200.0,6808.0,1
1.646144951975817e+18,2331.0,-3302.0,6387.0,1
1.6461449520298708e+18,2231.0,-4833.0,6285.0,1
1.6461449520795313e+18,2256.0,-4259.0,5783.0,1
1.6461449521302922e+18,1605.0,-4954.0,6733.0,1
1.646144952178833e+18,494.0,-3990.0,7025.0,1
1.6461449522303793e+18,752.0,-3695.0,7253.0,1
1.6461449522789514e+18,2066.0,-1217.0,5060.0,1
1.6461449523301558e+18,3062.0,-4361.0,5978.0,1
1.646144952380886e+18,3446.0,-2345.0,5444.0,1
1.6461449524318515e+18,2209.0,-6564.0,6333.0,1
1.6461449524809175e+18,696.0,-3818.0,9024.0,1
1.646144952530798e+18,-44.0,-5061.0,10190.0,1
1.6461449525832148e+18,278.0,-3837.0,9652.0,1
1.6461449526311644e+18,610.0,-1753.0,7732.0,1
1.646144952680696e+18,1965.0,-3029.0,7458.0,1
1.6461449527293624e+18,2236.0,-1773.0,7394.0,1
1.6461449527808522e+18,1629.0,-2705.0,6125.0,1
1.6461449528313403e+18,652.0,173.0,8375.0,1
1.6461449528793687e+18,743.0,-578.0,8466.0,1
1.6461449529304535e+18,1306.0,-1559.0,7856.0,1
1.6461449529819707e+18,1695.0,-2327.0,8122.0,1
1.6461449530313316e+18,1699.0,-1878.0,8058.0,1
1.6461449530820554e+18,1673.0,-844.0,8543.0,1
1.6461449531305375e+18,1665.0,-610.0,7841.0,1
1.646144953183127e+18,1882.0,-1281.0,7651.0,1
1.646144953231802e+18,1771.0,-608.0,7940.0,1
1.6461449532811983e+18,1598.0,-231.0,8188.0,1
1.6461449533298473e+18,1871.0,-3.0,7980.0,1
1.6461449533809756e+18,1642.0,-616.0,7646.0,1
1.6461449534316503e+18,1737.0,292.0,7807.0,1
1.6461449534825464e+18,1572.0,651.0,7480.0,1
1.6461449535324068e+18,1393.0,1052.0,8311.0,1
1.6461449535818934e+18,1602.0,577.0,8426.0,1
1.6461449536303877e+18,1658.0,652.0,8567.0,1
1.646144953680819e+18,1845.0,1177.0,8508.0,1
1.6461449537309356e+18,1914.0,1516.0,7749.0,1
1.646144953782389e+18,1510.0,2299.0,7932.0,1
1.6461449538256105e+18,1696.0,1751.0,8131.0,1
1.6461449538826885e+18,1596.0,1192.0,7845.0,1
1.6461449539308892e+18,1642.0,1528.0,7713.0,1
1.646144953982068e+18,1462.0,1501.0,7822.0,1
1.646144954036328e+18,1143.0,1517.0,7723.0,1
1.6461449540839076e+18,1255.0,1501.0,7717.0,1
1.6461449541345167e+18,734.0,3670.0,7042.0,1
1.646144954181717e+18,388.0,1062.0,7294.0,1
1.6461449542338022e+18,1314.0,-618.0,8280.0,1
1.6461449542811773e+18,2819.0,-2346.0,8114.0,1
1.646144954336045e+18,2738.0,-3692.0,7342.0,1
1.6461449543814254e+18,2281.0,-2019.0,7801.0,1
1.6461449544374423e+18,1189.0,-2893.0,9034.0,1
1.6461449544802081e+18,491.0,-1922.0,9332.0,1
1.6461449545345068e+18,344.0,-2906.0,8872.0,1
1.6461449545825518e+18,943.0,-1263.0,9230.0,1
1.6461449546324562e+18,2265.0,-2025.0,7040.0,1
1.6461449546839708e+18,2340.0,-4223.0,7226.0,1
1.646144954731253e+18,1801.0,-2199.0,7448.0,1
1.6461449547837606e+18,1244.0,-2938.0,8586.0,1
1.646144954833186e+18,1825.0,-3103.0,7474.0,1
1.6461449548807373e+18,2132.0,-3074.0,6533.0,1
1.6461449549364012e+18,2261.0,-2359.0,6769.0,1
1.646144954983501e+18,2015.0,-2638.0,6998.0,1
1.6461449550325312e+18,1996.0,-2512.0,7423.0,1
1.6461449550826534e+18,2239.0,-2607.0,6866.0,1
1.6461449551350295e+18,2177.0,-4088.0,6763.0,1
1.646144955182196e+18,2224.0,-3481.0,6611.0,1
1.6461449552362854e+18,2162.0,-3801.0,6447.0,1
1.6461449552793482e+18,2025.0,-5010.0,6370.0,1
1.6461449553348173e+18,1724.0,-4894.0,6319.0,1
1.6461449553812503e+18,1803.0,-4592.0,6476.0,1
1.6461449554337247e+18,1468.0,-3707.0,6566.0,1
1.6461449554838154e+18,1206.0,-4041.0,6873.0,1
1.6461449555346294e+18,1560.0,-4277.0,6079.0,1
1.6461449555837632e+18,2296.0,-4216.0,4761.0,1
1.64614495563423e+18,2649.0,-3573.0,4948.0,1
1.6461449556835261e+18,2308.0,-2704.0,5518.0,1
1.6461449557350013e+18,1528.0,-2387.0,6483.0,1
1.6461449557837194e+18,885.0,-3227.0,7733.0,1
1.6461449558183066e+18,707.0,-3032.0,8203.0,1
1.6461449558847603e+18,374.0,-1261.0,8061.0,1
1.6461449559349501e+18,640.0,-739.0,8534.0,1
1.6461449559830024e+18,414.0,122.0,8226.0,1
1.6461449560353032e+18,255.0,684.0,8657.0,1
1.6461449560889713e+18,277.0,-346.0,7606.0,1
1.6461449561364585e+18,-865.0,1155.0,7740.0,1
1.6461449561859254e+18,-986.0,686.0,7347.0,1
