timestamp,a_left_wristPose,b_left_wristPose,c_left_wristPose, BOLT_RIGHT
1.646150529620212e+18,2507.0,-6075.0,4423.0,1
1.6461505296743713e+18,2910.0,-6377.0,3963.0,1
1.6461505297225014e+18,3525.0,-6645.0,3176.0,1
1.6461505297744927e+18,3365.0,-6753.0,2472.0,1
1.6461505298166377e+18,3412.0,-5723.0,5641.0,1
1.646150529873257e+18,2108.0,-6660.0,3875.0,1
1.6461505299193024e+18,2232.0,-6515.0,4186.0,1
1.6461505299734106e+18,3618.0,-6695.0,3256.0,1
1.646150530018899e+18,2678.0,-6565.0,4140.0,1
1.646150530073877e+18,2617.0,-7063.0,3806.0,1
1.6461505301163692e+18,2961.0,-6575.0,3885.0,1
1.6461505301773688e+18,3250.0,-6885.0,4055.0,1
1.6461505302233021e+18,2403.0,-6041.0,4535.0,1
1.6461505302742702e+18,2926.0,-7030.0,3681.0,1
1.6461505303235855e+18,2487.0,-5830.0,4636.0,1
1.6461505303726054e+18,3027.0,-6609.0,3928.0,1
1.6461505304199898e+18,2728.0,-5696.0,4653.0,1
1.6461505304710208e+18,2943.0,-6637.0,3933.0,1
1.6461505305234816e+18,3029.0,-6687.0,3872.0,1
1.6461505305765425e+18,3276.0,-6518.0,3370.0,1
1.6461505306228672e+18,3041.0,-6028.0,4478.0,1
1.6461505306730765e+18,3097.0,-6735.0,3639.0,1
1.6461505307239186e+18,2352.0,-6250.0,4918.0,1
1.6461505307755564e+18,2487.0,-7111.0,3952.0,1
1.6461505308187822e+18,2629.0,-6764.0,3839.0,1
1.6461505308740756e+18,2882.0,-6493.0,4164.0,1
1.6461505309221143e+18,3393.0,-6399.0,4082.0,1
1.6461505309727987e+18,2868.0,-6578.0,3789.0,1
1.6461505310245197e+18,2432.0,-5903.0,4886.0,1
1.6461505310736187e+18,3188.0,-6976.0,3677.0,1
1.6461505311215892e+18,2824.0,-5954.0,5015.0,1
1.6461505311728568e+18,2636.0,-6731.0,3650.0,1
1.6461505312282924e+18,2578.0,-6034.0,4547.0,1
1.646150531273874e+18,3010.0,-6364.0,4195.0,1
1.646150531327167e+18,3237.0,-6397.0,3951.0,1
1.6461505313743785e+18,2777.0,-6646.0,3973.0,1
1.646150531426823e+18,3035.0,-6374.0,3661.0,1
1.6461505314746793e+18,3705.0,-6277.0,3930.0,1
1.646150531526765e+18,2731.0,-6717.0,3557.0,1
1.6461505315697577e+18,2761.0,-6236.0,4698.0,1
1.646150531624506e+18,2878.0,-7215.0,3278.0,1
1.646150531672732e+18,2387.0,-5736.0,4923.0,1
1.6461505317258808e+18,2806.0,-6544.0,4270.0,1
1.6461505317731978e+18,2412.0,-5844.0,4865.0,1
1.646150531823267e+18,2913.0,-7035.0,3568.0,1
1.6461505318751334e+18,3098.0,-6131.0,4586.0,1
1.646150531917753e+18,3666.0,-6745.0,3383.0,1
1.6461505319713006e+18,2852.0,-5955.0,5026.0,1
1.6461505320260928e+18,2459.0,-6823.0,3916.0,1
1.646150532072424e+18,2669.0,-6584.0,4048.0,1
1.6461505321273992e+18,2634.0,-6778.0,3616.0,1
1.6461505321771482e+18,3129.0,-5958.0,4358.0,1
1.646150532226371e+18,3228.0,-6588.0,4194.0,1
1.646150532275978e+18,3162.0,-6480.0,3647.0,1
1.6461505323266107e+18,3247.0,-6744.0,3544.0,1
1.6461505323697723e+18,3369.0,-5770.0,4478.0,1
1.6461505324265134e+18,3064.0,-6984.0,3475.0,1
1.6461505324718597e+18,2435.0,-6220.0,4322.0,1
1.6461505325266668e+18,3118.0,-6835.0,4039.0,1
1.6461505325710664e+18,3028.0,-6839.0,3362.0,1
1.6461505326268541e+18,2633.0,-6525.0,4413.0,1
1.6461505326739648e+18,3284.0,-6714.0,3399.0,1
1.6461505327256911e+18,3498.0,-6107.0,4327.0,1
1.646150532775774e+18,3123.0,-6935.0,3820.0,1
1.646150532823299e+18,2508.0,-5789.0,4397.0,1
1.6461505328813312e+18,2929.0,-7108.0,4297.0,1
1.6461505329251156e+18,2745.0,-6316.0,3825.0,1
1.646150532975659e+18,3035.0,-6528.0,3848.0,1
1.6461505330262205e+18,3084.0,-6435.0,3974.0,1
1.6461505330756173e+18,3344.0,-5969.0,4241.0,1
1.646150533121707e+18,2905.0,-6838.0,3541.0,1
1.6461505331791892e+18,3588.0,-6474.0,3187.0,1
1.646150533226109e+18,2355.0,-6459.0,4697.0,1
1.646150533275591e+18,3480.0,-6879.0,3382.0,1
1.646150533326324e+18,2708.0,-6188.0,4683.0,1
