timestamp,a_left_wristPose,b_left_wristPose,c_left_wristPose, SCREW_RIGHT
1.64615092391395e+18,-3451.0,-6060.0,4746.0,1
1.6461509239667684e+18,-3979.0,-5707.0,5245.0,1
1.646150924012872e+18,-3416.0,-6070.0,4517.0,1
1.6461509240664863e+18,-3480.0,-5495.0,4711.0,1
1.646150924119006e+18,-3724.0,-5977.0,5196.0,1
1.6461509241630738e+18,-3722.0,-5504.0,4959.0,1
1.6461509242155942e+18,-3585.0,-5810.0,4806.0,1
1.646150924263696e+18,-3151.0,-5827.0,4347.0,1
1.646150924311956e+18,-4034.0,-5714.0,5170.0,1
1.6461509243629e+18,-3811.0,-6016.0,4989.0,1
1.6461509244166694e+18,-3467.0,-6114.0,4578.0,1
1.6461509244626258e+18,-3778.0,-5906.0,4694.0,1
1.646150924512321e+18,-3425.0,-6003.0,4565.0,1
1.6461509245630694e+18,-3626.0,-6122.0,4735.0,1
1.646150924617089e+18,-3660.0,-5925.0,4751.0,1
1.6461509246681638e+18,-3592.0,-5615.0,4907.0,1
1.6461509247132296e+18,-3443.0,-5937.0,4484.0,1
1.6461509247688494e+18,-3696.0,-5474.0,5053.0,1
1.646150924814e+18,-3622.0,-5836.0,5031.0,1
1.6461509248683236e+18,-3599.0,-5590.0,5219.0,1
1.6461509249137687e+18,-3685.0,-5514.0,4815.0,1
1.646150924966353e+18,-3586.0,-6034.0,4990.0,1
1.646150925017296e+18,-3441.0,-5822.0,4776.0,1
1.646150925064643e+18,-3693.0,-6030.0,5021.0,1
1.6461509251121034e+18,-3553.0,-5847.0,4896.0,1
1.6461509251676708e+18,-3523.0,-5912.0,4685.0,1
1.64615092521394e+18,-3584.0,-5911.0,4948.0,1
1.6461509252663327e+18,-3493.0,-5992.0,4855.0,1
1.6461509253174252e+18,-3582.0,-5979.0,4760.0,1
1.6461509253670492e+18,-3397.0,-5889.0,4962.0,1
1.6461509254177708e+18,-3619.0,-5707.0,5054.0,1
1.6461509254660398e+18,-3453.0,-5609.0,4951.0,1
1.6461509255139825e+18,-3622.0,-5497.0,5326.0,1
1.646150925567377e+18,-3647.0,-5687.0,5134.0,1
1.6461509256130445e+18,-3523.0,-5640.0,5025.0,1
1.6461509256679898e+18,-3501.0,-5755.0,4880.0,1
1.6461509257184868e+18,-3595.0,-5757.0,4992.0,1
1.6461509257667433e+18,-3483.0,-5808.0,4961.0,1
1.646150925817504e+18,-3609.0,-5975.0,4869.0,1
1.6461509258654216e+18,-3632.0,-5714.0,5130.0,1
1.646150925914185e+18,-3520.0,-5826.0,4940.0,1
1.6461509259669158e+18,-3621.0,-5677.0,4912.0,1
1.6461509260155054e+18,-3389.0,-5669.0,4851.0,1
1.6461509260665252e+18,-3531.0,-5806.0,5008.0,1
1.6461509261154995e+18,-3735.0,-5483.0,5509.0,1
1.646150926166929e+18,-3374.0,-5796.0,4821.0,1
1.6461509262161428e+18,-3662.0,-5694.0,5298.0,1
1.6461509262660137e+18,-3559.0,-5550.0,5230.0,1
1.6461509263165169e+18,-3772.0,-5709.0,5621.0,1
1.6461509263685396e+18,-4586.0,-6055.0,6287.0,1
1.6461509357235948e+18,-2688.0,-3302.0,7481.0,1
1.6461509357813711e+18,-2688.0,-2720.0,7309.0,1
1.6461509358247716e+18,-3045.0,-1895.0,7218.0,1
1.646150935880355e+18,-3130.0,-3579.0,6670.0,1
1.6461509359303299e+18,-2242.0,-6737.0,5941.0,1
1.6461509359791816e+18,-1802.0,-6728.0,5131.0,1
1.646150936031751e+18,-1759.0,-7325.0,4982.0,1
1.6461509360788086e+18,-2525.0,-5437.0,5459.0,1
1.6461509361310963e+18,-2445.0,-6476.0,5315.0,1
1.6461509361775235e+18,-2403.0,-5777.0,5177.0,1
1.6461509362363203e+18,-2002.0,-6928.0,4560.0,1
1.6461509362814956e+18,-2487.0,-5935.0,5601.0,1
1.6461509363309926e+18,-2565.0,-5431.0,5409.0,1
1.646150936378451e+18,-2492.0,-5444.0,4871.0,1
1.646150936431209e+18,-1196.0,-7447.0,4062.0,1
1.6461509364721014e+18,-869.0,-8155.0,3921.0,1
1.646150936533557e+18,-1549.0,-5619.0,3881.0,1
1.646150936577003e+18,-1603.0,-6666.0,3835.0,1
1.646150936621554e+18,-1902.0,-7861.0,4073.0,1
1.6461509366792005e+18,-1881.0,-7920.0,3735.0,1
1.6461509367320228e+18,-1596.0,-7176.0,3051.0,1
1.646150936779238e+18,-1862.0,-6760.0,3455.0,1
1.6461509368284716e+18,-1781.0,-6949.0,3742.0,1
1.646150936880571e+18,-1343.0,-8017.0,3202.0,1
1.6461509369308687e+18,-2147.0,-5916.0,3753.0,1
1.6461509369800494e+18,-1608.0,-7667.0,3651.0,1
1.6461509370328855e+18,-1280.0,-7375.0,2928.0,1
1.6461509370835873e+18,-1997.0,-8010.0,2923.0,1
1.6461509371225551e+18,-1764.0,-6619.0,3344.0,1
1.646150937177211e+18,-2015.0,-7155.0,3149.0,1
1.6461509372306153e+18,-1496.0,-7114.0,2916.0,1
1.646150937282845e+18,-1271.0,-8215.0,3058.0,1
1.6461509373331456e+18,-899.0,-7799.0,2876.0,1
1.6461509373813957e+18,-2330.0,-6673.0,4097.0,1
1.646150937433425e+18,-976.0,-9596.0,3476.0,1
1.646150937483962e+18,-1112.0,-6094.0,3227.0,1
1.6461509375331748e+18,-1848.0,-6621.0,3442.0,1
1.6461509375829217e+18,-1528.0,-6820.0,3728.0,1
1.646150937633006e+18,-2396.0,-6687.0,4135.0,1
1.6461509376823258e+18,-1730.0,-6745.0,3993.0,1
1.6461509377297234e+18,-1591.0,-7755.0,3789.0,1
1.6461509377805468e+18,-827.0,-7828.0,2858.0,1
1.6461509378328978e+18,-2025.0,-6205.0,4260.0,1
1.6461509378819256e+18,-1443.0,-8841.0,4504.0,1
