timestamp,a_left_wristPose,b_left_wristPose,c_left_wristPose, DELIVERY_BIMANUAL
1.6455446821317558e+18,4369.0,-2262.0,6708.0,1
1.645544682175441e+18,4455.0,-1707.0,7031.0,1
1.645544682232318e+18,4589.0,-2068.0,7354.0,1
1.645544682280287e+18,4166.0,-1741.0,6595.0,1
1.645544682316074e+18,4131.0,-3346.0,6227.0,1
1.6455446823798262e+18,4301.0,-2694.0,6851.0,1
1.645544682425869e+18,4412.0,-2113.0,7387.0,1
1.6455446824793697e+18,4579.0,-2262.0,6808.0,1
1.6455446825240886e+18,4382.0,-3041.0,6295.0,1
1.6455446825802673e+18,4770.0,-3949.0,6388.0,1
1.645544682626183e+18,4617.0,-3617.0,6198.0,1
1.645544682680591e+18,4409.0,-2517.0,6244.0,1
1.6455446827223183e+18,3758.0,-3384.0,6074.0,1
1.6455446827804104e+18,3608.0,-3930.0,5796.0,1
1.645544682822271e+18,4284.0,-3571.0,6228.0,1
1.6455446828794834e+18,6407.0,-2516.0,6189.0,1
1.64554468293238e+18,3963.0,-3765.0,6680.0,1
1.6455446829818929e+18,4579.0,-3479.0,6187.0,1
1.645544683021106e+18,4946.0,-2032.0,6287.0,1
1.6455446830802816e+18,4112.0,-2814.0,6532.0,1
1.64554468313191e+18,4065.0,-1398.0,6163.0,1
1.645544683179907e+18,2732.0,-931.0,7825.0,1
1.6455446832324908e+18,3560.0,-2411.0,7544.0,1
1.6455446832801324e+18,4593.0,-3039.0,6508.0,1
1.6455446833261437e+18,5197.0,-2561.0,6071.0,1
1.6455446833787963e+18,5689.0,-1889.0,5753.0,1
1.6455446834233766e+18,5017.0,-3580.0,5729.0,1
1.645544683480503e+18,4925.0,-1115.0,6306.0,1
1.645544683545527e+18,5114.0,-504.0,6309.0,1
1.6455446835833756e+18,5206.0,-226.0,6338.0,1
1.645544683663435e+18,5263.0,134.0,6390.0,1
1.6455446836810066e+18,4866.0,887.0,6796.0,1
1.6455446837191642e+18,4236.0,1356.0,8073.0,1
1.6455446837802253e+18,2964.0,1105.0,7762.0,1
1.6455446838236603e+18,1814.0,1891.0,7364.0,1
1.6455446838782897e+18,1552.0,1675.0,7196.0,1
1.6455446839238456e+18,1182.0,2269.0,7520.0,1
1.6455446839790254e+18,275.0,3328.0,7735.0,1
1.645544684035673e+18,210.0,3424.0,7452.0,1
1.6455446840782405e+18,689.0,4147.0,7261.0,1
