timestamp,a_left_wristPose,b_left_wristPose,c_left_wristPose, ASSEMBLY2_RIGHT
1.6449320351492014e+18,-2267.0,-9697.0,462.0,1
1.6449320351989844e+18,-941.0,-10515.0,-789.0,1
1.6449320352493586e+18,399.0,-9104.0,-988.0,1
1.6449320352967311e+18,1895.0,-7262.0,-1630.0,1
1.644932035350529e+18,2426.0,-6474.0,-1176.0,1
1.6449320353988308e+18,3236.0,-4571.0,-573.0,1
1.6449320354535547e+18,3664.0,-1825.0,792.0,1
1.6449320357950077e+18,9697.0,842.0,1607.0,1
1.6449320358511322e+18,3673.0,-2933.0,-2378.0,1
1.6449320358974252e+18,-1409.0,-9432.0,-586.0,1
1.6449320359456228e+18,-3515.0,-8073.0,3134.0,1
1.6449320360000018e+18,-4003.0,-6463.0,5806.0,1
1.644932036051883e+18,-2972.0,-5996.0,7483.0,1
1.644932036102572e+18,-1660.0,-3540.0,8672.0,1
1.6449320361503465e+18,-1899.0,-3687.0,10140.0,1
1.6449320361984182e+18,-467.0,-4124.0,10356.0,1
1.6449320362505782e+18,-28.0,-3363.0,7912.0,1
1.6449320363027942e+18,-550.0,-1860.0,7363.0,1
1.6449320363506778e+18,-1623.0,-2428.0,7027.0,1
1.6449320364029146e+18,-2880.0,-3589.0,7693.0,1
1.6449320364506621e+18,-2760.0,-1215.0,8191.0,1
1.6449320365047903e+18,-1945.0,-1384.0,7941.0,1
1.6449320365469778e+18,-1188.0,-1576.0,7953.0,1
1.6449320365976804e+18,-618.0,-1136.0,8610.0,1
1.6449320366503368e+18,-759.0,-2561.0,8012.0,1
1.6449320367006746e+18,-1232.0,-2006.0,8313.0,1
1.6449320367503698e+18,-1704.0,-1108.0,8669.0,1
1.6449320368010499e+18,-1973.0,-944.0,7997.0,1
1.6449320368499407e+18,-2191.0,-1477.0,8352.0,1
1.644932036900819e+18,-1674.0,-2594.0,8297.0,1
1.6449320369516408e+18,-1508.0,-2964.0,8141.0,1
1.6449320369999844e+18,-1583.0,-2612.0,7832.0,1
1.6449320370509356e+18,-1783.0,-2723.0,7700.0,1
1.644932037102521e+18,-1707.0,-2861.0,7737.0,1
1.6449320371513746e+18,-1676.0,-3299.0,7698.0,1
1.6449320372002084e+18,-1681.0,-3078.0,7736.0,1
1.6449320372500155e+18,-1494.0,-3176.0,7621.0,1
1.6449320373009682e+18,-1394.0,-3256.0,7557.0,1
1.644932037349068e+18,-822.0,-3852.0,7782.0,1
1.6449320374001759e+18,-1020.0,-3784.0,7699.0,1
1.6449320374503777e+18,-1414.0,-3690.0,7499.0,1
1.644932037503867e+18,-1583.0,-3683.0,7492.0,1
1.6449320375506908e+18,-1845.0,-3759.0,7111.0,1
1.6449320375981507e+18,-1882.0,-3994.0,6900.0,1
1.6449320376534367e+18,-1513.0,-4290.0,6734.0,1
1.6449320377009078e+18,-1256.0,-4549.0,6609.0,1
1.644932037755728e+18,-1461.0,-4900.0,6559.0,1
1.6449320378004849e+18,-1509.0,-5464.0,6455.0,1
1.6449320378550356e+18,-1595.0,-5576.0,6317.0,1
1.6449320378981335e+18,-1629.0,-5562.0,6100.0,1
1.644932037954519e+18,-1609.0,-5689.0,5799.0,1
1.644932038000298e+18,-1797.0,-6085.0,5571.0,1
1.644932038054644e+18,-2034.0,-6004.0,5073.0,1
1.6449320381036972e+18,-2127.0,-6224.0,4423.0,1
1.6449320381535442e+18,-1992.0,-6286.0,3536.0,1
1.64493203819943e+18,-2208.0,-6519.0,3737.0,1
1.644932038254942e+18,-2913.0,-7128.0,4272.0,1
1.6449320383001393e+18,-3267.0,-7417.0,4917.0,1
1.644932038355731e+18,-3644.0,-6793.0,4875.0,1
1.644932038399412e+18,-4078.0,-6361.0,5086.0,1
1.644932038455033e+18,-4179.0,-6458.0,4755.0,1
1.6449320385036398e+18,-4018.0,-6469.0,4447.0,1
1.6449320385539963e+18,-3891.0,-6539.0,4010.0,1
1.644932038601405e+18,-3969.0,-6530.0,3626.0,1
1.6449320386356623e+18,-3997.0,-6455.0,3299.0,1
1.6449320387290253e+18,-3976.0,-6581.0,3223.0,1
1.6449320387290253e+18,-3976.0,-6581.0,3223.0,1
1.644932038816441e+18,-3960.0,-6728.0,3119.0,1
1.6449320388633198e+18,-3971.0,-6862.0,3019.0,1
1.6449320389131295e+18,-4013.0,-6961.0,2967.0,1
1.6449320389516004e+18,-4132.0,-6977.0,3066.0,1
1.6449320389994227e+18,-4238.0,-5458.0,3760.0,1
1.6449320390564204e+18,-4235.0,-6544.0,3766.0,1
1.644932039097931e+18,-5069.0,-6413.0,4203.0,1
1.644932039152047e+18,-5408.0,-4603.0,5607.0,1
