timestamp,a_left_wristPose,b_left_wristPose,c_left_wristPose, BOLT_LEFT
1.644932449442727e+18,-1081.0,-7990.0,-111.0,1
1.6449324495101256e+18,-1142.0,-8225.0,-86.0,1
1.64493244956942e+18,-1227.0,-8368.0,6.0,1
1.644932449616283e+18,-1220.0,-9042.0,447.0,1
1.6449324496665812e+18,-3002.0,-8225.0,4079.0,1
1.644932449721299e+18,-3773.0,-7226.0,4240.0,1
1.644932449766906e+18,-3975.0,-6769.0,3727.0,1
1.6449324498157496e+18,-4792.0,-6058.0,3617.0,1
1.6449324498662282e+18,-4108.0,-5724.0,4350.0,1
1.6449324499212654e+18,-2489.0,-6231.0,3926.0,1
1.644932449967063e+18,-1591.0,-5998.0,3666.0,1
1.6449324500183496e+18,-1818.0,-7942.0,4157.0,1
1.644932450066729e+18,-781.0,-7947.0,339.0,1
1.6449324501180073e+18,-8.0,-9804.0,-2814.0,1
1.6449324501681198e+18,-384.0,-9036.0,-3584.0,1
1.6449324502183048e+18,-205.0,-5898.0,-4134.0,1
1.6449324502665958e+18,3780.0,-780.0,-9591.0,1
1.6449324503194982e+18,-5919.0,-6540.0,7082.0,1
1.6449324503711347e+18,-2435.0,-9327.0,2642.0,1
1.6449324504202652e+18,-3365.0,-4526.0,3352.0,1
1.6449324504674929e+18,-3160.0,-8635.0,2431.0,1
1.6449324505184218e+18,-2136.0,-8085.0,2417.0,1
1.6449324505669112e+18,-2701.0,-7160.0,3994.0,1
1.6449324506152878e+18,-2014.0,-6217.0,2826.0,1
1.6449324506668452e+18,-1319.0,-7877.0,2051.0,1
1.6449324507248684e+18,-1203.0,-9763.0,2792.0,1
1.644932450793412e+18,-1224.0,-9852.0,2965.0,1
1.644932450793412e+18,-1224.0,-9852.0,2965.0,1
1.6449324773012895e+18,809.0,-8228.0,-1880.0,1
1.6449324773524447e+18,-633.0,-7552.0,-1693.0,1
1.6449324774059507e+18,-559.0,-7320.0,-3203.0,1
1.6449324774506179e+18,-1063.0,-7587.0,-3618.0,1
1.6449324775025887e+18,-1032.0,-6903.0,-3949.0,1
