timestamp,a_left_wristPose,b_left_wristPose,c_left_wristPose, IDLE
1.644932425185515e+18,-4039.0,-7164.0,-1301.0,1
1.6449324252375575e+18,-4115.0,-7084.0,-1198.0,1
1.6449324252853356e+18,-4007.0,-7260.0,-1605.0,1
1.6449324253376786e+18,-4421.0,-6768.0,-1588.0,1
1.644932425385755e+18,-4461.0,-6550.0,-1637.0,1
1.6449324254340634e+18,-4418.0,-6866.0,-1400.0,1
1.644932425487639e+18,-4264.0,-6735.0,-1206.0,1
1.6449324255416182e+18,-4199.0,-6301.0,-531.0,1
1.6449324255854333e+18,-4297.0,-6571.0,-278.0,1
1.6449324256382336e+18,-4465.0,-7421.0,31.0,1
1.6449324256900705e+18,-4340.0,-6947.0,-105.0,1
1.6449324257408172e+18,-4337.0,-6812.0,-80.0,1
1.6449324257855665e+18,-4118.0,-6434.0,-130.0,1
1.6449324258422556e+18,-4236.0,-6462.0,-148.0,1
1.644932425896553e+18,-4895.0,-6900.0,-539.0,1
1.6449324259388529e+18,-5442.0,-7598.0,-780.0,1
1.6449324259906301e+18,-5318.0,-6781.0,-1403.0,1
1.6449324260399777e+18,-4836.0,-6011.0,-671.0,1
1.6449324260805036e+18,-4408.0,-6771.0,-937.0,1
1.6449324261122222e+18,-4410.0,-6844.0,-924.0,1
1.644932426225268e+18,-4420.0,-6920.0,-901.0,1
1.644932426225268e+18,-4420.0,-6920.0,-901.0,1
1.6449324262733102e+18,-4444.0,-6975.0,-871.0,1
