timestamp,a_right_wristPose,b_right_wristPose,c_right_wristPose, BOLT_RIGHT
1.6450220104569024e+18,828.0,9746.0,118.0,1
1.6450220105101745e+18,1493.0,9508.0,-1638.0,1
1.6450220105581527e+18,1710.0,8248.0,-1466.0,1
1.6450220106064433e+18,1765.0,9177.0,-2179.0,1
1.6450220106557632e+18,1969.0,9329.0,-2508.0,1
1.6450220107088614e+18,2590.0,7065.0,-1845.0,1
1.6450220107569748e+18,2452.0,6923.0,-2215.0,1
1.645022010810747e+18,2162.0,7809.0,-2386.0,1
1.6450220108540467e+18,2297.0,7625.0,-1721.0,1
1.6450220109157588e+18,2197.0,6178.0,-1809.0,1
1.6450220109547786e+18,1297.0,7877.0,-1996.0,1
1.6450220110103165e+18,596.0,6251.0,-575.0,1
1.6450220110565686e+18,464.0,8182.0,-1238.0,1
1.6450220111110502e+18,397.0,7104.0,-1161.0,1
1.6450220111574034e+18,-308.0,7453.0,286.0,1
1.6450220112107497e+18,-906.0,9046.0,275.0,1
1.6450220112572733e+18,-1234.0,7548.0,445.0,1
1.645022011311242e+18,-2187.0,8764.0,252.0,1
1.6450220113579617e+18,-2396.0,9357.0,1010.0,1
1.6450220114068713e+18,-1810.0,9875.0,1423.0,1
1.645022011457901e+18,-1120.0,9843.0,1301.0,1
1.6450220115120532e+18,-87.0,10272.0,1740.0,1
1.6450220115576282e+18,528.0,9201.0,829.0,1
1.6450220116084764e+18,1477.0,8880.0,-679.0,1
1.6450220116581394e+18,1196.0,9984.0,-342.0,1
1.645022011710469e+18,1474.0,8158.0,-2194.0,1
1.6450220117586476e+18,1892.0,9253.0,-2534.0,1
1.6450220118100001e+18,2378.0,8339.0,-1817.0,1
1.645022011855992e+18,2453.0,9520.0,-1328.0,1
1.6450220119069023e+18,2675.0,7549.0,-1056.0,1
1.6450220119627139e+18,2889.0,6766.0,-2102.0,1
1.6450220120064927e+18,2156.0,6980.0,-1859.0,1
1.6450220120610017e+18,1464.0,7036.0,-1298.0,1
1.6450220121108396e+18,974.0,6701.0,-1922.0,1
1.6450220121607158e+18,310.0,8548.0,-1647.0,1
1.6450220122097426e+18,-8.0,6904.0,-234.0,1
1.6450220122612495e+18,-255.0,8669.0,-708.0,1
1.6450220123106685e+18,-361.0,7951.0,519.0,1
1.645022012360745e+18,-434.0,8364.0,1190.0,1
1.6450220124069353e+18,-1319.0,8511.0,686.0,1
1.645022012461369e+18,-1865.0,8533.0,1380.0,1
1.6450220125064942e+18,-1776.0,8362.0,1605.0,1
1.645022012561138e+18,-1466.0,10192.0,1748.0,1
1.645022012610721e+18,-25.0,9179.0,1900.0,1
1.645022012660803e+18,1306.0,10031.0,1104.0,1
1.6450220127107387e+18,1760.0,9669.0,68.0,1
1.6450220127600827e+18,1483.0,10131.0,35.0,1
1.645022012807156e+18,2240.0,9666.0,-1448.0,1
1.645022012861981e+18,2400.0,9584.0,-1662.0,1
1.6450220129065638e+18,2568.0,7596.0,-613.0,1
1.6450220129609114e+18,2499.0,7841.0,-462.0,1
1.6450220130102152e+18,2559.0,6986.0,-767.0,1
1.6450220130612925e+18,2638.0,6993.0,-1594.0,1
1.6450220131068493e+18,2014.0,6451.0,-1595.0,1
1.6450220131574019e+18,1128.0,6291.0,-1948.0,1
1.6450220132141548e+18,238.0,7471.0,-1827.0,1
1.645022013260867e+18,127.0,8278.0,-2301.0,1
1.6450220133077033e+18,-36.0,7552.0,-2029.0,1
1.6450220133616556e+18,-681.0,7880.0,-451.0,1
1.645022013409093e+18,-1287.0,8801.0,-978.0,1
1.6450220134606305e+18,-2252.0,9558.0,-797.0,1
1.6450220135138478e+18,-2069.0,8627.0,260.0,1
1.6450220135600297e+18,-1812.0,9145.0,-73.0,1
1.6450220136137298e+18,-1647.0,9591.0,1321.0,1
1.645022013661174e+18,-241.0,9753.0,2964.0,1
1.6450220137135122e+18,1211.0,10142.0,2055.0,1
1.645022013760572e+18,1582.0,9238.0,1305.0,1
1.6450220138137413e+18,1349.0,8348.0,924.0,1
1.6450220138554437e+18,1075.0,9239.0,234.0,1
1.6450220139114737e+18,1932.0,9169.0,-1961.0,1
1.6450220139612234e+18,2084.0,8555.0,-341.0,1
1.6450220140138893e+18,2411.0,7324.0,-30.0,1
1.6450220140605494e+18,2736.0,9113.0,-488.0,1
1.6450220141130752e+18,3058.0,7855.0,-224.0,1
1.6450220141680945e+18,2792.0,6068.0,-449.0,1
1.6450220142113608e+18,2648.0,9251.0,-1701.0,1
1.6450220142603912e+18,2254.0,5739.0,-3179.0,1
1.6450220143107315e+18,799.0,7261.0,-207.0,1
1.6450220143611896e+18,891.0,6549.0,2196.0,1
1.6450220144106335e+18,1026.0,7309.0,3195.0,1
1.6450220144618808e+18,2395.0,8000.0,3845.0,1
1.645022014511403e+18,4245.0,8139.0,5046.0,1
1.6450220145613215e+18,4506.0,5469.0,6290.0,1
1.6450220146123732e+18,3968.0,3605.0,7179.0,1
1.6450220146566682e+18,3464.0,2837.0,6809.0,1
1.645022014714498e+18,3089.0,1364.0,6516.0,1
1.645022014761911e+18,2416.0,4824.0,6216.0,1
1.645022014812916e+18,2372.0,4801.0,6705.0,1
1.6450220148618716e+18,2425.0,3755.0,6907.0,1
1.6450220149113108e+18,2507.0,3769.0,5873.0,1
1.6450220149596954e+18,1675.0,4352.0,5964.0,1
1.6450220150138365e+18,644.0,5432.0,5492.0,1
1.645022015061732e+18,490.0,6204.0,5326.0,1
1.6450220151117658e+18,426.0,6607.0,5504.0,1
1.6450220151634278e+18,796.0,6020.0,5264.0,1
1.6450220152127227e+18,123.0,6024.0,4773.0,1
1.645022015263116e+18,-935.0,7401.0,4046.0,1
1.6450220153125332e+18,-1050.0,6050.0,4021.0,1
1.6450220153668252e+18,-1650.0,7773.0,1668.0,1
1.645022015411061e+18,-2195.0,7899.0,2292.0,1
1.645022015466409e+18,-1812.0,9771.0,1193.0,1
1.6450220155166584e+18,-1724.0,9725.0,1375.0,1
1.6450220155655007e+18,-1349.0,9356.0,2463.0,1
1.645022015611789e+18,-1165.0,9904.0,3344.0,1
1.645022015662451e+18,-861.0,8793.0,4036.0,1
1.645022015713828e+18,-95.0,7690.0,4266.0,1
1.6450220157685993e+18,146.0,7082.0,4423.0,1
1.645022015809073e+18,441.0,7187.0,4075.0,1
1.64502201586288e+18,524.0,6977.0,4301.0,1
1.6450220159091092e+18,884.0,6707.0,3947.0,1
1.6450220159673715e+18,993.0,7915.0,3272.0,1
1.6450220160121736e+18,1417.0,8772.0,3163.0,1
1.64502201606451e+18,1548.0,8443.0,3480.0,1
1.6450220161124815e+18,1551.0,6221.0,3338.0,1
1.645022016164446e+18,1821.0,7645.0,4938.0,1
1.6450220162170097e+18,2462.0,5678.0,6308.0,1
1.6450220162609034e+18,2603.0,4698.0,6822.0,1
1.645022016309777e+18,2605.0,4627.0,6740.0,1
1.6450220163618435e+18,2502.0,3710.0,6491.0,1
1.6450220164142707e+18,2124.0,4301.0,6395.0,1
1.6450220164649231e+18,1834.0,3952.0,6236.0,1
1.6450220165139837e+18,1983.0,4397.0,5777.0,1
1.64502201656622e+18,1642.0,5196.0,6358.0,1
1.6450220166088737e+18,1644.0,5214.0,6112.0,1
1.6450220166650322e+18,1873.0,5229.0,5715.0,1
1.6450220167141048e+18,2107.0,6088.0,4647.0,1
