timestamp,a_right_backPose,b_right_backPose,c_right_backPose,File Name
1.6463906662125624e+18,2403.0,315.0,-7665.0,frame_1148.jpeg
1.6463906662671493e+18,2308.0,375.0,-7942.0,frame_1149.jpeg
1.6463906663162732e+18,1488.0,1714.0,-8314.0,frame_1150.jpeg
1.6463906663669524e+18,1434.0,1458.0,-8152.0,frame_1151.jpeg
1.6463906664116485e+18,1431.0,1059.0,-7729.0,frame_1152.jpeg
1.6463906664651743e+18,-218.0,1030.0,-7516.0,frame_1153.jpeg
1.646390666515603e+18,-1010.0,823.0,-8124.0,frame_1154.jpeg
1.646390666561282e+18,-3287.0,1742.0,-8652.0,frame_1155.jpeg
1.646390666617015e+18,-5423.0,-958.0,-3827.0,frame_1156.jpeg
1.646390666662445e+18,-6900.0,-2657.0,-799.0,frame_1157.jpeg
1.6463906667256548e+18,-5986.0,-2882.0,-2254.0,frame_1158.jpeg
1.6463906667618196e+18,-3235.0,-880.0,-8196.0,frame_1159.jpeg
1.646390666816679e+18,-2059.0,567.0,-9689.0,frame_1160.jpeg
1.646390666863894e+18,-804.0,1571.0,-9613.0,frame_1161.jpeg
1.646390666920388e+18,39.0,4084.0,-12755.0,frame_1162.jpeg
1.646390666964948e+18,-457.0,3679.0,-13884.0,frame_1163.jpeg
1.6463906670171384e+18,-1397.0,-488.0,-7273.0,frame_1164.jpeg
1.6463906670627471e+18,-2423.0,-4664.0,-2308.0,frame_1165.jpeg
1.6463906671141786e+18,-3834.0,-3067.0,-2968.0,frame_1166.jpeg
1.646390667161692e+18,-4137.0,151.0,-6353.0,frame_1167.jpeg
1.6463906672170365e+18,-3127.0,706.0,-8017.0,frame_1168.jpeg
1.6463906672691395e+18,-2679.0,699.0,-8137.0,frame_1169.jpeg
1.6463906673166764e+18,-1186.0,737.0,-8780.0,frame_1170.jpeg
1.6463906673681884e+18,-1147.0,583.0,-8697.0,frame_1171.jpeg
1.6463906674162504e+18,-1711.0,454.0,-7641.0,frame_1172.jpeg
