timestamp,a_left_backPose,b_left_backPose,c_left_backPose,File Name
1.6463939002507085e+18,2143.0,1542.0,7652.0,frame_610.jpeg
1.6463939002961592e+18,2012.0,1176.0,7464.0,frame_611.jpeg
1.6463939003508183e+18,1989.0,1392.0,7851.0,frame_612.jpeg
1.646393900398354e+18,1703.0,2769.0,8894.0,frame_613.jpeg
1.6463939004525322e+18,4200.0,1313.0,7743.0,frame_614.jpeg
1.6463939004959895e+18,4164.0,2036.0,7786.0,frame_615.jpeg
1.6463939005466314e+18,3646.0,1908.0,7960.0,frame_616.jpeg
1.646393900600836e+18,4694.0,-312.0,6101.0,frame_617.jpeg
1.6463939006507471e+18,3465.0,-58.0,6174.0,frame_618.jpeg
1.6463939006954673e+18,3069.0,1016.0,6858.0,frame_619.jpeg
1.646393872631027e+18,1286.0,7944.0,-1086.0,frame_62.jpeg
1.6463939007507377e+18,6005.0,429.0,5739.0,frame_620.jpeg
1.646393900796925e+18,5547.0,917.0,6557.0,frame_621.jpeg
1.6463939008470904e+18,5504.0,978.0,6516.0,frame_622.jpeg
1.6463939008944407e+18,5907.0,774.0,6399.0,frame_623.jpeg
1.6463939009514647e+18,5678.0,656.0,6106.0,frame_624.jpeg
1.646393901000011e+18,5429.0,950.0,5941.0,frame_625.jpeg
1.6463939010513162e+18,4796.0,598.0,4971.0,frame_626.jpeg
1.6463939010972498e+18,4442.0,1948.0,4980.0,frame_627.jpeg
1.6463939011494543e+18,3679.0,3921.0,5657.0,frame_628.jpeg
1.6463939011957174e+18,4941.0,6299.0,6127.0,frame_629.jpeg
1.646393872631027e+18,1286.0,7944.0,-1086.0,frame_63.jpeg
1.6463939012515707e+18,4730.0,5042.0,4632.0,frame_630.jpeg
1.6463941853050744e+18,7090.0,1287.0,2803.0,frame_6304.jpeg
1.646394185352871e+18,11515.0,5932.0,-2333.0,frame_6305.jpeg
1.6463941854038054e+18,9866.0,5305.0,-10217.0,frame_6306.jpeg
1.6463941854560858e+18,7747.0,5955.0,-11262.0,frame_6307.jpeg
1.6463941855044652e+18,6481.0,6258.0,-11867.0,frame_6308.jpeg
1.6463941855593388e+18,1773.0,628.0,-11169.0,frame_6309.jpeg
1.646393901325253e+18,5388.0,4271.0,3899.0,frame_631.jpeg
1.6463941856050772e+18,2879.0,-1070.0,-9805.0,frame_6310.jpeg
1.6463941856560356e+18,2880.0,-1388.0,-9106.0,frame_6311.jpeg
1.6463941857045038e+18,2384.0,-712.0,-5940.0,frame_6312.jpeg
1.6463941857594156e+18,4686.0,2602.0,-5731.0,frame_6313.jpeg
1.6463941857984197e+18,4567.0,3664.0,-6122.0,frame_6314.jpeg
1.6463941858595986e+18,4104.0,3861.0,-6514.0,frame_6315.jpeg
1.646394185904689e+18,5586.0,3745.0,-6153.0,frame_6316.jpeg
1.6463941859578383e+18,8301.0,2754.0,-5443.0,frame_6317.jpeg
1.6463941860043261e+18,13741.0,1953.0,-2853.0,frame_6318.jpeg
1.6463941860567258e+18,15123.0,775.0,1004.0,frame_6319.jpeg
1.6463939013494684e+18,5978.0,3221.0,2972.0,frame_632.jpeg
1.6463941861057175e+18,11910.0,-420.0,1249.0,frame_6320.jpeg
1.6463941861611715e+18,6162.0,-1524.0,-21.0,frame_6321.jpeg
1.646394186198705e+18,4757.0,-2543.0,-595.0,frame_6322.jpeg
