timestamp,a_right_backPose,b_right_backPose,c_right_backPose, DELIVERY_BIMANUAL
1.6461471389696008e+18,-8178.0,-95.0,1718.0,1
1.646147139021774e+18,-10661.0,1263.0,1963.0,1
1.6461471390700375e+18,-11065.0,4063.0,2366.0,1
1.6461471391209477e+18,-11408.0,5535.0,3997.0,1
1.6461471391691415e+18,-10123.0,5665.0,3797.0,1
1.6461471392220687e+18,-8453.0,5576.0,2730.0,1
1.6461471392669542e+18,-8361.0,4739.0,2288.0,1
1.6461471393172577e+18,-8185.0,4368.0,2153.0,1
1.6461471393690268e+18,-7485.0,3320.0,1067.0,1
1.6461471394201452e+18,-7533.0,2960.0,814.0,1
1.64614713947397e+18,-7276.0,2706.0,1093.0,1
1.6461471395198277e+18,-7469.0,2647.0,799.0,1
1.6461471395720054e+18,-7369.0,2434.0,992.0,1
1.646147139619545e+18,-8014.0,2311.0,1083.0,1
1.6461471396737085e+18,-8198.0,2054.0,1186.0,1
1.646147139720095e+18,-8393.0,2044.0,1395.0,1
1.6461471397736166e+18,-8563.0,1813.0,1626.0,1
1.6461471398189046e+18,-8442.0,1612.0,1542.0,1
1.646147139873896e+18,-8222.0,1372.0,1463.0,1
1.6461471399191217e+18,-7972.0,1137.0,1443.0,1
1.6461471399707213e+18,-7769.0,825.0,1360.0,1
1.6461471400251681e+18,-7837.0,520.0,1484.0,1
1.6461471400718833e+18,-7694.0,165.0,1510.0,1
1.6461471401198036e+18,-8177.0,-116.0,1520.0,1
1.6461471401290883e+18,-8225.0,-137.0,1543.0,1
1.646147140243819e+18,-8236.0,-153.0,1560.0,1
1.646147140271603e+18,-8406.0,-583.0,1722.0,1
1.6461471403205107e+18,-8432.0,-620.0,1924.0,1
1.6461471403753288e+18,-8314.0,-722.0,1842.0,1
1.6461471404192484e+18,-8697.0,-887.0,2472.0,1
1.6461471404738865e+18,-7149.0,-1835.0,2805.0,1
1.6461471405200105e+18,-7497.0,-1699.0,3564.0,1
1.6461471405717658e+18,-6899.0,-553.0,3799.0,1
1.6461471406203533e+18,-6606.0,321.0,3633.0,1
1.646147140673499e+18,-6570.0,458.0,4288.0,1
1.6461471407114755e+18,-6239.0,-49.0,4604.0,1
1.6461471407770066e+18,-6148.0,-210.0,4686.0,1
1.646147140822271e+18,-6527.0,-181.0,4976.0,1
