timestamp,a_right_backPose,b_right_backPose,c_right_backPose, SCREW_RIGHT
1.6461473634981005e+18,3529.0,1688.0,-8649.0,1
1.64614736354791e+18,3376.0,1524.0,-7901.0,1
1.646147363597902e+18,4597.0,918.0,-6200.0,1
1.646147363651012e+18,4819.0,2116.0,-7422.0,1
1.6461473636872456e+18,3295.0,3126.0,-8375.0,1
1.6461473637512878e+18,3281.0,1652.0,-7652.0,1
1.646147363796992e+18,2182.0,670.0,-7371.0,1
1.646147363849321e+18,3140.0,-756.0,-7263.0,1
1.6461473639022794e+18,1594.0,228.0,-7237.0,1
1.6461473639504225e+18,2391.0,69.0,-6315.0,1
1.646147364001275e+18,2831.0,1007.0,-7427.0,1
1.646147364050117e+18,3377.0,1176.0,-7427.0,1
1.6461473641022062e+18,3594.0,1085.0,-7184.0,1
1.6461473641482327e+18,3813.0,1620.0,-7040.0,1
1.646147364202717e+18,3446.0,967.0,-7964.0,1
1.6461473642478515e+18,3409.0,785.0,-7706.0,1
1.6461473643035192e+18,4313.0,613.0,-7342.0,1
1.6461473643495293e+18,2812.0,2283.0,-7970.0,1
1.6461473644024374e+18,2313.0,2831.0,-8197.0,1
1.646147364450118e+18,2640.0,1987.0,-8199.0,1
1.6461473645020362e+18,2523.0,431.0,-7150.0,1
1.6461473645507994e+18,2458.0,47.0,-7277.0,1
1.6461473646022218e+18,2549.0,566.0,-6082.0,1
1.6461473646503332e+18,3964.0,965.0,-7873.0,1
1.6461473647008635e+18,3276.0,1555.0,-7727.0,1
1.646147364750408e+18,2822.0,1269.0,-7238.0,1
1.6461473648070456e+18,4249.0,969.0,-6950.0,1
1.646147364853155e+18,3661.0,933.0,-6991.0,1
1.6461473648861668e+18,3373.0,896.0,-6235.0,1
1.6461473649495962e+18,3245.0,930.0,-6179.0,1
1.6461473650048015e+18,3211.0,1012.0,-6200.0,1
1.6461473650291743e+18,3466.0,1436.0,-7060.0,1
1.6461473651038208e+18,3482.0,1331.0,-7132.0,1
1.6461473651493996e+18,4748.0,2092.0,-7040.0,1
1.6461473651691901e+18,3869.0,1990.0,-6662.0,1
1.6461473652664264e+18,4150.0,1819.0,-7199.0,1
1.6461473652993958e+18,4092.0,1645.0,-7371.0,1
1.6461473653494062e+18,4213.0,1863.0,-7083.0,1
1.646147365417551e+18,4566.0,2172.0,-6536.0,1
1.6461473654506035e+18,4098.0,2954.0,-7254.0,1
1.646147365478811e+18,3727.0,3770.0,-7444.0,1
1.6461473677544164e+18,-2269.0,10.0,-6825.0,1
1.6461473678061358e+18,-1898.0,262.0,-7022.0,1
1.6461473678538941e+18,-1401.0,-16.0,-7816.0,1
1.6461473679053885e+18,-1859.0,13.0,-9391.0,1
1.646147367954972e+18,-449.0,-247.0,-8651.0,1
1.646147368004777e+18,-633.0,-795.0,-6418.0,1
1.6461473680519572e+18,795.0,702.0,-5487.0,1
1.6461473681077747e+18,1658.0,1320.0,-9343.0,1
1.6461473681540849e+18,1587.0,1012.0,-9845.0,1
1.6461473682100782e+18,1217.0,671.0,-7769.0,1
1.6461473682552786e+18,2178.0,615.0,-6923.0,1
1.6461473683077658e+18,2562.0,306.0,-8629.0,1
1.6461473683531177e+18,3105.0,2005.0,-10022.0,1
1.6461473683628127e+18,3420.0,2358.0,-10094.0,1
1.6461473683628127e+18,3420.0,2358.0,-10094.0,1
1.6461473683628127e+18,3420.0,2358.0,-10094.0,1
1.6461473683628127e+18,3420.0,2358.0,-10094.0,1
1.6461473688131753e+18,3617.0,2547.0,-10075.0,1
1.6461473688131753e+18,3617.0,2547.0,-10075.0,1
1.6461473688131753e+18,3617.0,2547.0,-10075.0,1
1.6461473688131753e+18,3617.0,2547.0,-10075.0,1
1.6461473688131753e+18,3617.0,2547.0,-10075.0,1
1.6461473688708662e+18,3736.0,2708.0,-10023.0,1
1.6461473688708662e+18,3736.0,2708.0,-10023.0,1
1.6461473688708662e+18,3736.0,2708.0,-10023.0,1
1.646147369066404e+18,3813.0,2875.0,-9965.0,1
1.646147369066404e+18,3813.0,2875.0,-9965.0,1
1.6461473690687923e+18,3842.0,3037.0,-9888.0,1
1.646147369172796e+18,3874.0,3164.0,-9803.0,1
1.6461473692072579e+18,1201.0,1732.0,-7383.0,1
1.6461473692582976e+18,-629.0,1659.0,-6200.0,1
1.6461473693068961e+18,-470.0,511.0,-5762.0,1
1.646147369353424e+18,-15.0,1783.0,-6605.0,1
1.646147369405475e+18,1420.0,1075.0,-7466.0,1
1.6461473694570186e+18,3843.0,220.0,-5772.0,1
1.6461473694972746e+18,3798.0,2416.0,-6778.0,1
1.646147369560235e+18,3156.0,5310.0,-11976.0,1
1.6461473696046927e+18,1562.0,3361.0,-9450.0,1
1.6461473696589164e+18,-1610.0,1113.0,-6764.0,1
1.6461473697048317e+18,-472.0,426.0,-5153.0,1
1.6461473697594616e+18,1308.0,1263.0,-7447.0,1
1.646147369805264e+18,2085.0,1119.0,-7593.0,1
1.646147369854406e+18,2784.0,2668.0,-6204.0,1
1.6461473699106286e+18,1822.0,3864.0,-11229.0,1
1.6461473699556124e+18,3816.0,4764.0,-10561.0,1
1.6461473700092157e+18,197.0,2131.0,-6877.0,1
1.6461473700589604e+18,840.0,414.0,-5168.0,1
1.6461473701051837e+18,115.0,1873.0,-7097.0,1
1.6461473701554125e+18,2543.0,953.0,-7303.0,1
1.6461473702103951e+18,2461.0,1117.0,-5632.0,1
1.6461473702601917e+18,1717.0,3927.0,-11177.0,1
1.6461473703040428e+18,3574.0,4710.0,-11276.0,1
1.6461473703598825e+18,382.0,2309.0,-7507.0,1
1.6461473704112837e+18,-1104.0,401.0,-5401.0,1
1.6461473704573617e+18,1537.0,823.0,-5552.0,1
1.6461473705111117e+18,1633.0,897.0,-7195.0,1
1.646147370557226e+18,4750.0,2109.0,-6293.0,1
1.6461473706103224e+18,1633.0,4320.0,-10502.0,1
1.6461473706629996e+18,3382.0,4952.0,-10204.0,1
1.6461473707100413e+18,-1042.0,987.0,-5954.0,1
1.646147370755769e+18,-27.0,728.0,-5600.0,1
1.6461473708110436e+18,1438.0,1115.0,-7740.0,1
1.6461473708569523e+18,2374.0,1689.0,-6627.0,1
1.646147370910888e+18,2024.0,2298.0,-9013.0,1
1.6461473709566956e+18,3345.0,5489.0,-10989.0,1
1.6461473710094136e+18,1684.0,3307.0,-9275.0,1
1.6461473710613117e+18,-1616.0,385.0,-5968.0,1
1.646147371111773e+18,1553.0,736.0,-6970.0,1
1.646147371155049e+18,1261.0,1580.0,-7659.0,1
1.6461473712096146e+18,4198.0,1782.0,-6679.0,1
1.6461473712564675e+18,1096.0,4123.0,-9839.0,1
1.6461473713149706e+18,3119.0,4859.0,-9923.0,1
1.6461473713602967e+18,-624.0,1456.0,-6433.0,1
1.6461473714083433e+18,-1056.0,677.0,-6470.0,1
1.6461473714564567e+18,409.0,1526.0,-7479.0,1
1.6461473715119465e+18,1914.0,943.0,-6724.0,1
1.6461473715613245e+18,2431.0,3675.0,-7949.0,1
1.6461473716104904e+18,2022.0,5448.0,-10059.0,1
1.646147371657194e+18,2142.0,4796.0,-8915.0,1
1.646147371711913e+18,-337.0,1122.0,-5749.0,1
1.6461473717600084e+18,-882.0,613.0,-5944.0,1
1.6461473718105098e+18,841.0,1961.0,-7642.0,1
1.6461473718575409e+18,1175.0,2512.0,-7888.0,1
1.6461473719112049e+18,2299.0,3737.0,-8301.0,1
1.646147371956749e+18,2946.0,5302.0,-9393.0,1
1.6461473720086377e+18,1525.0,3310.0,-7557.0,1
1.6461473720284408e+18,370.0,2422.0,-6698.0,1
1.6461473721102543e+18,36.0,2254.0,-6539.0,1
1.6461473721102543e+18,36.0,2254.0,-6539.0,1
1.6461473721102543e+18,36.0,2254.0,-6539.0,1
1.6461473721102543e+18,36.0,2254.0,-6539.0,1
1.6461473724322053e+18,-236.0,2090.0,-6413.0,1
1.6461473724322053e+18,-236.0,2090.0,-6413.0,1
1.6461473724322053e+18,-236.0,2090.0,-6413.0,1
1.6461473724322053e+18,-236.0,2090.0,-6413.0,1
1.6461473724322053e+18,-236.0,2090.0,-6413.0,1
1.646147372678576e+18,-373.0,1928.0,-6308.0,1
1.646147372678576e+18,-373.0,1928.0,-6308.0,1
1.646147372678576e+18,-373.0,1928.0,-6308.0,1
1.646147372678576e+18,-373.0,1928.0,-6308.0,1
1.646147372678576e+18,-373.0,1928.0,-6308.0,1
1.646147372919562e+18,-393.0,1816.0,-6284.0,1
1.646147372919562e+18,-393.0,1816.0,-6284.0,1
1.646147372919562e+18,-393.0,1816.0,-6284.0,1
1.6461473729624655e+18,-47.0,1643.0,-6905.0,1
1.646147372998895e+18,-771.0,1177.0,-7012.0,1
1.6461473730232438e+18,-937.0,1164.0,-6886.0,1
1.6461473731270643e+18,-916.0,1283.0,-6752.0,1
1.646147373158792e+18,340.0,1318.0,-6746.0,1
1.6461473732102705e+18,1543.0,2285.0,-6987.0,1
1.6461473732627366e+18,1710.0,5033.0,-9043.0,1
1.646147373312753e+18,1915.0,4874.0,-8287.0,1
1.6461473733610732e+18,1159.0,1403.0,-6804.0,1
1.6461473734109494e+18,508.0,1161.0,-6537.0,1
1.6461473734640753e+18,405.0,2264.0,-6944.0,1
1.646147373513076e+18,2397.0,3163.0,-6339.0,1
1.6461473735630188e+18,1862.0,4960.0,-8869.0,1
1.6461473736155174e+18,1389.0,4865.0,-8488.0,1
1.6461473736642575e+18,810.0,2387.0,-7202.0,1
1.6461473737107425e+18,-287.0,794.0,-6712.0,1
1.646147373761387e+18,-504.0,1566.0,-7010.0,1
1.6461473738130499e+18,3041.0,3196.0,-6920.0,1
1.6461473738613128e+18,2549.0,4421.0,-8509.0,1
1.646147373913472e+18,1022.0,5125.0,-8207.0,1
1.6461473739638152e+18,129.0,1802.0,-6570.0,1
1.646147374011577e+18,-474.0,1338.0,-7168.0,1
1.6461473740610698e+18,552.0,2263.0,-7271.0,1
1.6461473741163167e+18,2227.0,2892.0,-5746.0,1
1.6461473741615992e+18,1645.0,4385.0,-9264.0,1
1.646147374214542e+18,1206.0,4670.0,-8897.0,1
1.646147374264441e+18,-1544.0,3550.0,-7355.0,1
1.6461473743134564e+18,-2174.0,1141.0,-6057.0,1
1.6461473743628767e+18,-1967.0,1779.0,-8766.0,1
1.646147374413613e+18,-846.0,2409.0,-7839.0,1
1.646147374463507e+18,-431.0,3025.0,-6306.0,1
1.646147374514741e+18,2941.0,3270.0,-8336.0,1
1.6461473745652342e+18,1851.0,5581.0,-10103.0,1
1.6461473746115768e+18,1434.0,5115.0,-10731.0,1
1.6461476354432095e+18,-1353.0,4002.0,-7674.0,1
1.646147635489935e+18,-1426.0,3764.0,-7057.0,1
1.646147635541704e+18,-714.0,3476.0,-6903.0,1
1.6461476355857756e+18,-1269.0,3405.0,-6832.0,1
1.646147635644527e+18,-1425.0,3907.0,-7231.0,1
1.6461476356902208e+18,-1760.0,3933.0,-7421.0,1
1.6461476357407547e+18,-886.0,3835.0,-7187.0,1
1.6461476357867282e+18,-1081.0,3610.0,-7011.0,1
1.6461476358413215e+18,-1509.0,3559.0,-7190.0,1
1.6461476358952724e+18,-1301.0,3769.0,-7572.0,1
1.6461476359422387e+18,-1119.0,3536.0,-7468.0,1
1.6461476359966134e+18,-1155.0,3469.0,-7365.0,1
1.6461476360390508e+18,-1112.0,3413.0,-7393.0,1
