timestamp,a_right_backPose,b_right_backPose,c_right_backPose, BOLT_RIGHT
1.644932642458422e+18,-7656.0,2368.0,-758.0,1
1.6449326425127685e+18,-4970.0,1754.0,-1098.0,1
1.64493264255932e+18,-3395.0,1313.0,-1015.0,1
1.6449326426097362e+18,-5879.0,4609.0,-3653.0,1
1.6449326426602972e+18,-6769.0,2545.0,-2694.0,1
1.6449326427102597e+18,-6475.0,2933.0,-2397.0,1
1.6449326427599488e+18,-10546.0,2485.0,-1595.0,1
1.6449326428103596e+18,-10060.0,674.0,-34.0,1
1.6449326428586022e+18,-9243.0,614.0,-1174.0,1
1.644932642915385e+18,-8703.0,449.0,-2086.0,1
1.6449326429397668e+18,-8550.0,497.0,-2339.0,1
1.6449326430135045e+18,-8503.0,610.0,-2404.0,1
1.6449326430594698e+18,-10550.0,1025.0,-3523.0,1
1.644932643100106e+18,-10001.0,-64.0,-1442.0,1
1.644932643159963e+18,-6655.0,-1623.0,-992.0,1
1.6449326432131822e+18,-6314.0,325.0,-1021.0,1
1.6449326432563374e+18,-6305.0,310.0,-1698.0,1
1.6449326433129078e+18,-9205.0,1662.0,-1864.0,1
1.6449326433592e+18,-6821.0,-240.0,-2107.0,1
1.6449326434100895e+18,-6961.0,-200.0,-2352.0,1
1.6449326434598797e+18,-7044.0,-1922.0,-2805.0,1
1.6449326435103206e+18,-5177.0,-2001.0,-3008.0,1
1.6449326435658002e+18,-4017.0,-1852.0,-5107.0,1
1.6449326436096397e+18,-5689.0,-103.0,-3683.0,1
1.6449326436613586e+18,-5893.0,2722.0,-350.0,1
1.644932643710568e+18,-10983.0,6301.0,538.0,1
1.6449326437639939e+18,-10383.0,4635.0,612.0,1
1.6449326438097682e+18,-9123.0,2033.0,-3042.0,1
1.644932643861049e+18,-4223.0,-2948.0,-5322.0,1
1.6449326439101235e+18,-3293.0,-2901.0,-5830.0,1
1.644932643957001e+18,-5833.0,-2398.0,-4660.0,1
1.6449326440112686e+18,-6070.0,-2000.0,-5157.0,1
1.6449326440616138e+18,-8691.0,-2424.0,-2821.0,1
1.6449326441106255e+18,-9832.0,-2562.0,-5573.0,1
1.6449326441651546e+18,-11638.0,-3828.0,-7128.0,1
1.6449326442134856e+18,-11180.0,-286.0,-3897.0,1
1.6449326442681705e+18,-11494.0,-792.0,-3849.0,1
1.6449326443097446e+18,-6748.0,-1144.0,-4036.0,1
1.6449326443645148e+18,-2696.0,1885.0,-121.0,1
1.6449326444057544e+18,-2420.0,3908.0,2387.0,1
1.6449326444630113e+18,-1249.0,5696.0,4809.0,1
1.6449326445112812e+18,-1357.0,5753.0,3788.0,1
1.6449326445606057e+18,-4033.0,8894.0,7685.0,1
1.6449326446106017e+18,-3439.0,7777.0,6594.0,1
1.644932644660399e+18,-6222.0,8045.0,4838.0,1
1.6449326447102605e+18,-3280.0,3552.0,4670.0,1
1.6449326447600863e+18,-2164.0,-3510.0,17.0,1
1.6449326448104643e+18,-1863.0,-1399.0,-4004.0,1
1.644932644848935e+18,-4284.0,-1946.0,-7334.0,1
1.6449326449125455e+18,-8061.0,-3516.0,-12221.0,1
1.6449326449626726e+18,-5049.0,-2942.0,-6189.0,1
1.644932645010354e+18,-6025.0,-3204.0,-5835.0,1
1.6449326450644083e+18,-4593.0,-3946.0,-5283.0,1
1.6449326451119939e+18,-4733.0,-1739.0,-3146.0,1
1.6449326451610468e+18,-5087.0,55.0,-2201.0,1
1.644932645209515e+18,-3057.0,4112.0,-477.0,1
1.6449326452619308e+18,-9107.0,11443.0,2132.0,1
1.6449326453166804e+18,-5803.0,9277.0,-69.0,1
1.644932645364939e+18,1037.0,504.0,-2966.0,1
1.6449326454166523e+18,-5125.0,1293.0,-2800.0,1
1.6449326454603948e+18,-9156.0,1691.0,-2735.0,1
1.6449326454995407e+18,-8061.0,1581.0,-3505.0,1
1.644932645557808e+18,-8475.0,1708.0,-3199.0,1
1.6449326455987487e+18,-9016.0,1907.0,-2716.0,1
1.6449326456599572e+18,-10862.0,1156.0,-1868.0,1
1.6449326457158103e+18,-9659.0,-952.0,-1527.0,1
1.644932645761768e+18,-4310.0,-1109.0,88.0,1
1.6449326458159695e+18,-6044.0,172.0,-2603.0,1
1.6449326458614984e+18,-4843.0,-1834.0,-5338.0,1
1.6449326459168223e+18,-4579.0,-1058.0,-3244.0,1
1.6449326459604762e+18,-4262.0,-1518.0,-4249.0,1
1.6449326460138445e+18,-6877.0,1621.0,-1927.0,1
1.6449326460652124e+18,-7313.0,4204.0,-1931.0,1
1.6449326461159782e+18,-6189.0,4813.0,-3309.0,1
1.6449326461645458e+18,-4177.0,3587.0,-5819.0,1
1.6449326462167242e+18,-6568.0,5746.0,-4835.0,1
1.644932646260331e+18,-13074.0,7363.0,-2036.0,1
1.6449326463164636e+18,-13522.0,6620.0,264.0,1
1.6449326463633894e+18,-15796.0,3325.0,-961.0,1
1.6449326464122296e+18,-11550.0,-269.0,1160.0,1
1.644932646460791e+18,-8206.0,1029.0,1610.0,1
1.6449326465153894e+18,-5077.0,-609.0,-753.0,1
1.6449326465649196e+18,-3341.0,1627.0,1617.0,1
1.6449326466147684e+18,-5506.0,2270.0,3640.0,1
1.644932646663297e+18,-6139.0,2780.0,-2558.0,1
1.6449326467170652e+18,-7562.0,1887.0,-4183.0,1
1.6449326467659336e+18,-3858.0,1311.0,-2841.0,1
