timestamp,a_right_backPose,b_right_backPose,c_right_backPose, BOLT_LEFT
1.6450220427506086e+18,-3780.0,1406.0,-7131.0,1
1.6450220427970511e+18,-3765.0,1164.0,-7179.0,1
1.645022042850231e+18,-4012.0,1207.0,-7293.0,1
1.6450220428962035e+18,-3998.0,1225.0,-7231.0,1
1.645022042949405e+18,-3944.0,1308.0,-7294.0,1
1.6450220429970524e+18,-3853.0,1417.0,-7225.0,1
1.645022043049424e+18,-4134.0,1155.0,-6833.0,1
1.6450220430952036e+18,-4083.0,1163.0,-7236.0,1
1.6450220431479398e+18,-3841.0,1291.0,-7326.0,1
1.6450220431964895e+18,-4061.0,1306.0,-7064.0,1
1.645022043248712e+18,-4209.0,1277.0,-7066.0,1
1.6450220432961196e+18,-3952.0,1124.0,-7164.0,1
1.6450220433467077e+18,-3934.0,1223.0,-7172.0,1
1.6450220433949437e+18,-4196.0,1093.0,-6826.0,1
1.6450220434492442e+18,-4364.0,1179.0,-7243.0,1
1.6450220434955302e+18,-4138.0,1299.0,-7151.0,1
1.645022043549868e+18,-4402.0,1460.0,-6971.0,1
1.645022043594704e+18,-4307.0,1131.0,-6987.0,1
1.6450220436508726e+18,-3993.0,1047.0,-7187.0,1
1.6450220436956605e+18,-3976.0,1161.0,-7147.0,1
1.6450220437485417e+18,-3700.0,1161.0,-7369.0,1
1.6450220437988214e+18,-3829.0,1172.0,-7083.0,1
1.6450220438491113e+18,-3848.0,1232.0,-7119.0,1
1.6450220438969976e+18,-3911.0,1173.0,-7065.0,1
1.6450220439493307e+18,-3942.0,1253.0,-7257.0,1
1.6450220439939397e+18,-4097.0,1194.0,-7161.0,1
1.64502204404427e+18,-4169.0,1029.0,-7085.0,1
1.6450220440931356e+18,-4382.0,1025.0,-7179.0,1
1.6450220441486408e+18,-4176.0,994.0,-7072.0,1
1.645022044199934e+18,-4169.0,1200.0,-7032.0,1
1.6450220442490473e+18,-3926.0,1183.0,-7190.0,1
1.6450220442995983e+18,-4272.0,1054.0,-7020.0,1
1.6450220443455283e+18,-4283.0,1168.0,-7093.0,1
1.6450220443992248e+18,-4118.0,1186.0,-6977.0,1
1.6450220444499576e+18,-4143.0,1198.0,-7054.0,1
1.6450220444986898e+18,-4348.0,1177.0,-6945.0,1
1.6450220445463498e+18,-4243.0,1255.0,-7022.0,1
1.645022044601373e+18,-4071.0,1126.0,-6918.0,1
1.645022044646481e+18,-4215.0,1065.0,-7066.0,1
1.6450220446996613e+18,-4397.0,947.0,-7265.0,1
1.6450220447467366e+18,-4133.0,1127.0,-7141.0,1
1.6450220447996022e+18,-4270.0,1246.0,-6782.0,1
1.6450220448507507e+18,-4337.0,1117.0,-6864.0,1
1.6450220449000584e+18,-4346.0,1031.0,-6953.0,1
1.6450220449543593e+18,-4367.0,1194.0,-7101.0,1
1.645022044999211e+18,-4520.0,1174.0,-7029.0,1
1.645022045049118e+18,-4546.0,1065.0,-6914.0,1
1.645022045100331e+18,-4590.0,1014.0,-6863.0,1
1.6450220451536983e+18,-4480.0,1088.0,-6817.0,1
1.6450220452002888e+18,-4381.0,1312.0,-6899.0,1
1.645022045251444e+18,-4292.0,1100.0,-6895.0,1
1.6450220452987866e+18,-4715.0,950.0,-7014.0,1
1.6450220453518285e+18,-4651.0,1117.0,-6857.0,1
1.6450220453993242e+18,-4239.0,1279.0,-6782.0,1
1.6450220454507732e+18,-4445.0,1270.0,-6891.0,1
1.6450220454997455e+18,-4596.0,1127.0,-6621.0,1
1.6450220455498286e+18,-4437.0,1167.0,-6866.0,1
1.645022045601101e+18,-4483.0,1154.0,-6870.0,1
1.6450220456512207e+18,-4411.0,1181.0,-6942.0,1
1.6450220457007176e+18,-4540.0,1031.0,-6975.0,1
1.645022045755131e+18,-4356.0,1203.0,-6922.0,1
1.6450220458015142e+18,-4376.0,1222.0,-6599.0,1
1.645022045854527e+18,-4463.0,1050.0,-6981.0,1
1.645022045900763e+18,-4713.0,1101.0,-6957.0,1
1.6450220459492536e+18,-4485.0,1136.0,-6744.0,1
1.6450220460000264e+18,-4723.0,1017.0,-6973.0,1
1.6450220460513006e+18,-4990.0,1093.0,-6670.0,1
1.6450220461007107e+18,-4471.0,1140.0,-6499.0,1
1.645022046154048e+18,-4709.0,1000.0,-6980.0,1
1.6450220462004959e+18,-4361.0,1037.0,-6957.0,1
1.6450220462543967e+18,-4754.0,1198.0,-6788.0,1
1.6450220463019715e+18,-4823.0,1206.0,-6687.0,1
1.6450220463514952e+18,-4785.0,1310.0,-6464.0,1
1.645022046401791e+18,-4609.0,1209.0,-6632.0,1
1.6450220464510318e+18,-4787.0,1056.0,-6625.0,1
1.6450220465011576e+18,-4754.0,1199.0,-6866.0,1
1.6450220465506237e+18,-4729.0,1089.0,-6692.0,1
1.645022046607487e+18,-4694.0,981.0,-6704.0,1
1.645022046652086e+18,-4730.0,925.0,-6797.0,1
1.6450220467047951e+18,-4731.0,1065.0,-6834.0,1
1.645022046749658e+18,-4855.0,1063.0,-6643.0,1
1.6450220468024937e+18,-4814.0,981.0,-6672.0,1
1.645022046850423e+18,-4865.0,990.0,-6550.0,1
1.645022046907065e+18,-4503.0,1027.0,-6927.0,1
1.6450220469525806e+18,-4940.0,939.0,-6730.0,1
1.6450220470051133e+18,-4858.0,879.0,-6589.0,1
1.6450220470526968e+18,-4669.0,981.0,-6723.0,1
1.6450220471060524e+18,-4678.0,952.0,-6825.0,1
1.6450220471533932e+18,-4822.0,1003.0,-6783.0,1
1.6450220472057628e+18,-5068.0,1081.0,-6402.0,1
1.6450220472515814e+18,-4347.0,902.0,-6954.0,1
1.6450220473049882e+18,-5096.0,885.0,-6793.0,1
1.6450220473538883e+18,-4986.0,1059.0,-6350.0,1
1.6450220474047857e+18,-4784.0,893.0,-6664.0,1
1.6450220474534607e+18,-4760.0,960.0,-6693.0,1
1.6450220475036106e+18,-4859.0,1059.0,-6628.0,1
1.645022047552193e+18,-4942.0,1036.0,-6661.0,1
1.645022047604943e+18,-4698.0,885.0,-6664.0,1
1.6450220476530803e+18,-4946.0,741.0,-6726.0,1
1.6450220477062275e+18,-4820.0,886.0,-6780.0,1
1.6450220477480684e+18,-4795.0,1037.0,-6625.0,1
1.645022047802192e+18,-4813.0,939.0,-6617.0,1
1.6450220478531927e+18,-4983.0,845.0,-6562.0,1
1.6450220479042378e+18,-4739.0,902.0,-6782.0,1
1.645022047953506e+18,-4932.0,965.0,-6717.0,1
1.6450220480007867e+18,-4793.0,881.0,-6576.0,1
1.6450220480506179e+18,-5004.0,783.0,-6562.0,1
1.6450220481000443e+18,-5028.0,868.0,-6503.0,1
1.645022048156806e+18,-4859.0,759.0,-6715.0,1
1.6450220482006093e+18,-4970.0,783.0,-6881.0,1
1.6450220482585994e+18,-5057.0,964.0,-6322.0,1
1.645022048301452e+18,-5072.0,966.0,-6496.0,1
1.645022048358877e+18,-4985.0,876.0,-6508.0,1
1.6450220484149796e+18,-4929.0,930.0,-6534.0,1
1.6450220484584963e+18,-4996.0,793.0,-6649.0,1
1.645022048502502e+18,-5077.0,712.0,-6547.0,1
1.6450220485554148e+18,-4932.0,960.0,-6641.0,1
1.645022048607493e+18,-4930.0,857.0,-6626.0,1
1.6450220486581443e+18,-4869.0,944.0,-6709.0,1
1.6450220487077274e+18,-5007.0,958.0,-6394.0,1
1.6450220487564475e+18,-4939.0,971.0,-6472.0,1
1.6450220488004022e+18,-5000.0,848.0,-6559.0,1
1.6450220488582372e+18,-4977.0,804.0,-6696.0,1
1.6450220489007373e+18,-4912.0,744.0,-6641.0,1
1.6450220489558994e+18,-4694.0,795.0,-6722.0,1
1.6450220490021338e+18,-5077.0,761.0,-6550.0,1
1.6450220490536154e+18,-5048.0,822.0,-6567.0,1
1.645022049103368e+18,-4985.0,870.0,-6417.0,1
1.645022049154376e+18,-5190.0,647.0,-6446.0,1
1.64502204920354e+18,-4923.0,736.0,-6776.0,1
1.645022049259073e+18,-5126.0,892.0,-6450.0,1
1.645022049303537e+18,-5019.0,916.0,-6422.0,1
1.645022049358471e+18,-5023.0,816.0,-6556.0,1
1.6450220494070346e+18,-5068.0,811.0,-6468.0,1
1.6450220494579261e+18,-5150.0,846.0,-6444.0,1
