timestamp,a_right_wristPose,b_right_wristPose,c_right_wristPose, ASSEMBLY2_BIMANUAL
1.64502305878279e+18,-3097.0,4888.0,5742.0,1
1.64502305883923e+18,-2906.0,4451.0,5478.0,1
1.6450230588837573e+18,-2910.0,4539.0,5627.0,1
1.6450230589355218e+18,-3156.0,4207.0,5851.0,1
1.6450230589825167e+18,-3332.0,3435.0,7050.0,1
1.6450230590364106e+18,-3117.0,3323.0,6823.0,1
1.645023059082945e+18,-3207.0,3625.0,6203.0,1
1.6450230591395459e+18,-3356.0,4064.0,6396.0,1
1.6450230591843136e+18,-3163.0,4135.0,6646.0,1
1.6450230592366367e+18,-3046.0,3900.0,6457.0,1
1.6450230592834191e+18,-3225.0,3485.0,6215.0,1
1.6450230593355041e+18,-3318.0,3794.0,6139.0,1
1.645023059385376e+18,-3096.0,3920.0,5885.0,1
1.645023059434745e+18,-3466.0,3768.0,6299.0,1
1.6450230594900524e+18,-3442.0,3894.0,6693.0,1
1.6450230595389604e+18,-3430.0,3792.0,6476.0,1
1.6450230595894019e+18,-3299.0,3830.0,5985.0,1
1.6450230596365555e+18,-3313.0,3607.0,5670.0,1
1.6450230596883512e+18,-3756.0,4433.0,6715.0,1
1.6450230597367396e+18,-3579.0,3752.0,6859.0,1
1.6450230597884068e+18,-3424.0,3452.0,6359.0,1
1.6450230598348206e+18,-3584.0,3122.0,6544.0,1
1.645023059889455e+18,-3753.0,2810.0,6799.0,1
1.6450230599366177e+18,-3732.0,2759.0,6352.0,1
1.6450230599881434e+18,-3832.0,3151.0,6152.0,1
1.6450230600338977e+18,-3902.0,3008.0,6336.0,1
1.645023060086447e+18,-3723.0,3219.0,5917.0,1
1.6450230601362926e+18,-3674.0,3733.0,6195.0,1
1.6450230601927457e+18,-3416.0,3073.0,5396.0,1
1.6450230602395425e+18,-3581.0,4330.0,5580.0,1
1.6450230602890406e+18,-4339.0,3760.0,6909.0,1
1.645023060340705e+18,-4052.0,4083.0,6312.0,1
1.6450230603893747e+18,-3893.0,3432.0,5793.0,1
1.6450230604392064e+18,-4009.0,3594.0,6115.0,1
1.645023060489598e+18,-4017.0,3699.0,6000.0,1
1.6450230605344133e+18,-4050.0,4020.0,5821.0,1
1.6450230605872963e+18,-4071.0,4183.0,5698.0,1
1.6450230606349148e+18,-4038.0,4042.0,5683.0,1
1.64502306069028e+18,-4040.0,4176.0,5783.0,1
1.6450230607367168e+18,-4004.0,4158.0,5715.0,1
1.6450230607890596e+18,-4079.0,4104.0,5757.0,1
1.6450230608326973e+18,-4160.0,4099.0,5716.0,1
1.6450230608894938e+18,-4295.0,3914.0,5823.0,1
1.6450230609388756e+18,-4291.0,3613.0,5737.0,1
1.6450230609866609e+18,-4393.0,3521.0,5950.0,1
1.6450230610399204e+18,-4150.0,3632.0,5696.0,1
1.6450230610895926e+18,-4004.0,3679.0,5795.0,1
1.6450230611394191e+18,-3877.0,4127.0,5806.0,1
1.6450230612881336e+18,-3521.0,4594.0,5852.0,1
1.6450230613419732e+18,-3394.0,4577.0,5741.0,1
1.645023061390541e+18,-3290.0,4619.0,5676.0,1
1.6450230614448978e+18,-3270.0,4695.0,5726.0,1
