timestamp,a_right_wristPose,b_right_wristPose,c_right_wristPose, DELIVERY_BIMANUAL
1.64502294419383e+18,-3722.0,6762.0,1871.0,1
1.645022944237275e+18,-3730.0,6536.0,2290.0,1
1.6450229442922803e+18,-3625.0,6298.0,2537.0,1
1.6450229443394524e+18,-3711.0,6741.0,2565.0,1
1.645022944397247e+18,-3893.0,6770.0,2801.0,1
1.6450229444402657e+18,-3946.0,6734.0,2828.0,1
1.6450229444903286e+18,-3885.0,6677.0,2729.0,1
1.6450229445403581e+18,-3878.0,6711.0,2935.0,1
1.6450229445944092e+18,-4019.0,6617.0,3003.0,1
1.6450229446414874e+18,-4121.0,6397.0,2974.0,1
1.6450229446965824e+18,-4170.0,6336.0,2958.0,1
1.6450229447402893e+18,-4246.0,6324.0,2989.0,1
1.6450229447948073e+18,-4291.0,6055.0,3238.0,1
1.645022944842742e+18,-4329.0,6014.0,3457.0,1
1.6450229448950295e+18,-4320.0,5593.0,3740.0,1
1.645022944941484e+18,-4438.0,5159.0,3980.0,1
1.6450229449949668e+18,-4506.0,5031.0,4242.0,1
1.645022945041793e+18,-4522.0,4840.0,4384.0,1
1.645022945093769e+18,-4532.0,4519.0,4455.0,1
1.645022945140112e+18,-4539.0,4242.0,4769.0,1
1.645022945193219e+18,-4618.0,4250.0,4885.0,1
1.6450229452482947e+18,-4818.0,4333.0,5326.0,1
1.6450229452941366e+18,-4849.0,4557.0,5439.0,1
1.6450229453452027e+18,-5477.0,5790.0,6388.0,1
1.645022945393153e+18,-5063.0,6808.0,7814.0,1
1.6450229454432783e+18,-4681.0,8247.0,10611.0,1
1.6450229454933038e+18,-4043.0,8862.0,11599.0,1
1.6450229455455107e+18,-2533.0,7652.0,9948.0,1
1.6450229455939077e+18,-810.0,4580.0,6879.0,1
1.6450229456435151e+18,311.0,2577.0,5967.0,1
1.6450229456948045e+18,1180.0,1137.0,4474.0,1
1.6450229457443274e+18,1416.0,-278.0,4210.0,1
1.6450229457968125e+18,524.0,491.0,5358.0,1
1.6450229458445742e+18,442.0,208.0,5556.0,1
1.645022945893522e+18,783.0,681.0,6952.0,1
1.645022945946297e+18,1862.0,-693.0,6054.0,1
1.6450229459904187e+18,2004.0,-564.0,7007.0,1
1.6450229460457183e+18,1974.0,-958.0,7505.0,1
1.6450229460927183e+18,2281.0,-2165.0,7215.0,1
1.6450229461440535e+18,2285.0,-1266.0,7713.0,1
1.6450229461918136e+18,2578.0,-1394.0,7508.0,1
1.6450229462443868e+18,2800.0,-1384.0,7800.0,1
1.6450229462909504e+18,2653.0,-628.0,7837.0,1
1.645022946343905e+18,2706.0,-208.0,7973.0,1
1.6450229463945661e+18,2910.0,264.0,8015.0,1
1.645022946450989e+18,2854.0,61.0,7776.0,1
1.645022946491899e+18,2872.0,333.0,7820.0,1
1.6450229465453732e+18,2743.0,1.0,7988.0,1
1.645022946592772e+18,2577.0,-13.0,7869.0,1
1.6450229466467858e+18,2731.0,94.0,7858.0,1
1.645022946695699e+18,2825.0,-243.0,7678.0,1
1.645022946744624e+18,2885.0,-95.0,7838.0,1
1.645022946799243e+18,2943.0,-286.0,7873.0,1
1.645022946845826e+18,2718.0,-67.0,7763.0,1
1.6450229468970808e+18,2398.0,-107.0,7621.0,1
1.6450229469430735e+18,2063.0,-114.0,7252.0,1
1.6450229469991823e+18,1652.0,930.0,7584.0,1
1.6450229470432556e+18,2082.0,969.0,7063.0,1
1.645022947095338e+18,2918.0,171.0,7178.0,1
1.6450229471435617e+18,2927.0,-1298.0,7676.0,1
1.6450229471976302e+18,2774.0,-728.0,8328.0,1
1.6450229472433126e+18,2367.0,-475.0,9046.0,1
1.6450229472996626e+18,2564.0,-209.0,8131.0,1
1.6450229473456563e+18,2428.0,955.0,8429.0,1
1.6450229473960253e+18,2504.0,1723.0,7941.0,1
1.6450229474454e+18,2092.0,1388.0,8231.0,1
1.6450229474955515e+18,1778.0,1002.0,8891.0,1
1.6450229475439624e+18,1565.0,877.0,8875.0,1
1.6450229475950692e+18,1598.0,1297.0,7985.0,1
1.6450229476454387e+18,1674.0,1703.0,7879.0,1
1.6450229476960148e+18,1734.0,1934.0,8104.0,1
1.645022947744949e+18,1785.0,2411.0,7901.0,1
1.6450229477988933e+18,1786.0,3397.0,7514.0,1
1.6450229478456904e+18,1723.0,3306.0,7701.0,1
1.6450229478957437e+18,1754.0,3144.0,7676.0,1
1.645022947944565e+18,1816.0,3305.0,7413.0,1
1.6450229479941023e+18,1815.0,3079.0,7561.0,1
1.6450229480435264e+18,1721.0,2363.0,7930.0,1
1.6450229480953134e+18,1517.0,2538.0,8211.0,1
